date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,1431,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,1431,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,1431,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,1431,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,1433,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,1435,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,1436,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,1437,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,1439,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,1440,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,1440,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,1441,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,1442,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,1443,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,1445,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,1447,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,1448,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,1451,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,1455,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,1455,3,0,206,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,1459,4,0,212,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,1466,4,0,212,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,1470,5,0,212,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,1472,5,0,212,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,1476,5,0,213,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,1477,5,0,213,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,1480,4,0,213,0,0,0,0,0,0,0,0,0,0,0,0
