date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,85,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,92,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,93,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,95,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,97,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,97,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,99,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,99,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,101,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,101,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,103,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,105,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,105,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,110,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,112,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,114,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,118,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,125,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,127,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,130,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,134,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,136,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,138,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,138,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,139,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,140,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,140,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,140,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,140,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-08,141,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-09,142,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-10,143,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,143,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,143,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-13,144,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,144,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,145,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-16,145,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-17,146,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,146,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,146,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20,147,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-22,197,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03,436,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-07,436,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-08,436,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-09,436,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-10,436,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-11,436,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-12,436,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-13,436,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
