date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,378,0,6,1,506,2,6,61,60,11,0,0,0,12,0,0
2021-08-11,378,0,6,1,506,2,6,61,60,11,0,0,0,12,0,0
2021-08-12,378,0,6,1,506,2,6,61,60,11,0,0,0,12,0,0
2021-08-13,379,0,6,1,507,2,6,61,60,11,0,0,0,12,0,0
2021-08-14,379,0,6,1,507,2,6,61,60,11,0,0,0,12,0,0
2021-08-15,379,0,6,1,507,2,6,61,60,11,0,0,0,12,0,0
2021-08-16,379,0,6,1,507,2,6,61,60,11,0,0,0,12,0,0
2021-08-17,379,0,6,1,507,2,6,61,60,11,0,0,0,12,0,0
2021-08-18,379,0,6,1,507,2,6,61,60,11,0,0,0,12,0,0
2021-08-19,379,0,6,1,507,2,6,61,60,11,0,0,0,12,0,0
2021-08-20,379,0,6,1,507,2,6,61,60,11,0,0,0,12,0,0
2021-08-21,379,0,6,1,507,2,6,61,60,11,0,0,0,12,0,0
2021-08-22,379,0,6,1,507,2,6,61,60,11,0,0,0,12,0,0
2021-08-23,379,0,6,1,507,2,6,61,60,11,0,0,0,12,0,0
2021-08-24,379,0,6,1,507,2,6,61,60,11,0,0,0,12,0,0
2021-08-25,379,0,6,1,507,2,6,61,60,11,0,0,0,12,0,0
2021-08-26,379,0,6,1,508,2,6,61,60,11,0,0,0,12,0,0
2021-08-27,379,0,6,1,508,2,6,61,60,11,0,0,0,12,0,0
2021-08-28,379,0,6,1,508,2,6,61,60,11,0,0,0,12,0,0
2021-08-29,379,0,6,1,508,2,6,61,60,11,0,0,0,12,0,0
2021-08-30,379,0,6,1,508,2,6,61,60,11,0,0,0,12,0,0
2021-08-31,379,0,6,1,508,2,6,61,60,11,0,0,0,12,0,0
2021-09-01,380,0,6,1,510,2,6,61,60,11,0,0,0,12,0,0
2021-09-02,380,0,6,1,511,2,6,61,60,11,0,0,0,12,0,0
2021-09-03,380,0,6,1,511,2,6,61,60,11,0,0,0,12,0,0
2021-09-04,380,0,6,1,511,2,6,61,60,11,0,0,0,12,0,0
2021-09-05,380,0,6,1,511,2,6,61,60,11,0,0,0,12,0,0
2021-09-06,380,0,6,1,511,2,6,61,60,11,0,0,0,12,0,0
2021-09-07,380,0,6,1,511,2,6,61,60,11,0,0,0,12,0,0
2021-09-08,380,0,6,1,512,2,6,61,60,11,0,0,0,12,0,0
2021-09-09,382,0,6,1,515,2,6,61,60,11,0,0,0,12,0,0
2021-09-10,382,0,6,1,515,2,6,61,60,11,0,0,0,12,0,0
2021-09-11,382,0,6,1,515,2,6,61,60,11,0,0,0,12,0,0
2021-09-12,382,0,6,1,515,2,6,61,60,11,0,0,0,12,0,0
2021-09-13,383,0,6,1,516,2,6,61,60,11,0,0,0,12,0,0
2021-09-14,383,0,6,1,517,2,6,61,60,11,0,0,0,12,0,0
2021-09-15,385,0,6,1,520,2,6,61,60,11,0,0,0,12,0,0
