date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,1318,4,3,27,1522,16,3,58,29,149,25,199,12,766,0,0
2021-08-11,1324,4,3,27,1531,16,3,63,29,149,25,199,12,766,0,0
2021-08-12,1328,4,3,27,1538,16,3,63,29,149,25,199,12,766,0,0
2021-08-13,1335,4,3,27,1546,16,3,63,29,149,25,199,12,766,0,0
2021-08-14,1342,4,3,27,1553,16,3,63,29,149,25,199,12,766,0,0
2021-08-15,1346,4,3,27,1558,16,3,63,29,149,25,199,12,766,0,0
2021-08-16,1360,4,3,27,1581,16,3,63,29,149,25,199,12,766,0,0
2021-08-17,1365,4,3,27,1586,16,3,63,29,149,25,199,12,766,0,0
2021-08-18,1371,4,3,27,1593,16,3,63,29,149,25,199,12,766,0,0
2021-08-19,1377,4,3,27,1599,16,3,63,29,149,25,199,12,766,0,0
2021-08-20,1384,4,3,27,1599,16,3,63,29,149,25,199,12,766,0,0
2021-08-21,1388,4,3,27,1611,16,3,64,29,149,25,199,12,766,0,0
2021-08-22,1388,4,3,27,1611,16,3,64,29,149,25,199,12,766,0,0
2021-08-23,1395,4,3,27,1618,16,3,64,29,149,25,199,12,766,0,0
2021-08-24,1407,4,3,27,1630,16,3,65,29,149,25,199,12,766,0,0
2021-08-25,1417,4,3,27,1630,16,3,65,29,149,25,199,12,766,0,0
2021-08-26,1423,4,3,27,1649,16,3,67,29,149,25,199,12,766,0,0
2021-08-27,1432,4,3,27,1665,16,3,67,29,149,25,199,12,766,0,0
2021-08-28,1438,4,3,27,1673,16,3,68,29,149,25,199,12,766,0,0
2021-08-29,1441,4,3,27,1678,16,3,69,29,149,25,199,12,766,0,0
2021-08-30,1448,4,3,27,1678,16,3,69,29,149,25,199,12,766,0,0
2021-08-31,1456,4,3,27,1696,16,3,70,29,149,25,199,12,766,0,0
2021-09-01,1468,4,3,27,1712,16,3,70,29,149,25,199,12,766,0,0
2021-09-02,1475,4,3,27,1721,16,3,72,29,149,25,199,12,766,0,0
2021-09-03,1483,4,3,27,1730,16,3,72,29,149,25,199,12,766,0,0
2021-09-04,1486,4,3,27,1733,16,3,73,29,149,25,199,12,766,0,0
2021-09-05,1487,4,3,27,1733,16,3,73,29,149,25,199,12,766,0,0
2021-09-06,1499,4,3,27,1752,16,3,74,29,149,25,199,12,766,0,0
2021-09-07,1507,4,3,27,1763,16,3,74,29,149,25,199,12,766,0,0
2021-09-08,1511,4,3,27,1769,16,3,74,29,149,25,199,12,766,0,0
2021-09-09,1520,4,3,27,1780,16,3,74,29,149,25,199,12,766,0,0
2021-09-10,1524,4,3,27,1784,16,3,74,29,149,25,199,12,766,0,0
2021-09-11,1530,4,3,27,1784,16,3,74,29,149,25,199,12,766,0,0
2021-09-12,1531,4,3,27,1784,16,3,74,29,149,25,199,12,766,0,0
2021-09-13,1539,4,3,27,1784,16,3,74,29,149,25,199,12,766,0,0
2021-09-14,1553,4,3,27,1819,16,3,123,29,149,25,185,12,766,0,0
2021-09-15,1565,4,3,27,1834,16,3,127,29,149,25,185,12,766,0,0
2021-09-16,1578,4,3,27,1851,16,3,128,29,149,25,185,12,766,0,0
2021-09-17,163,4,3,27,181,16,3,31,34,149,25,185,12,766,0,0
2021-09-18,163,4,3,27,181,16,3,31,34,149,25,185,12,766,0,0
2021-09-19,163,4,3,27,181,16,3,31,34,149,25,185,12,766,0,0
2021-09-20,163,4,3,27,181,16,3,31,34,149,25,185,12,766,0,0
2021-11-22,163,4,3,27,181,19,3,34,37,149,25,185,12,766,0,0
2022-05-03,724,5,3,37,622,21,3,94,37,150,25,185,12,781,0,0
2022-05-07,730,5,3,37,622,21,3,94,37,150,25,185,12,781,0,0
2022-05-08,733,5,3,39,1033,22,3,258,50,153,25,185,12,839,0,0
2022-05-09,742,5,3,39,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-10,751,5,3,39,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-11,756,5,3,39,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-12,761,5,3,39,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-13,767,5,3,39,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-14,768,5,3,39,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-15,770,5,3,39,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-16,773,5,3,39,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-17,776,5,3,39,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-18,785,5,3,39,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-19,789,5,3,41,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-20,798,5,3,42,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-21,802,5,3,42,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-22,805,5,3,42,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-23,810,5,3,42,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-24,815,5,3,43,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-25,828,5,3,45,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-26,834,5,3,45,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-27,841,5,3,45,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-28,848,5,3,45,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-29,850,5,3,45,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-30,854,5,3,45,1033,22,3,265,50,153,25,185,12,839,0,0
2022-05-31,863,4,3,46,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-01,869,4,3,46,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-02,872,4,3,47,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-03,877,4,3,47,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-04,878,4,3,47,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-05,879,4,3,47,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-06,891,4,3,47,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-07,897,4,3,47,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-08,903,4,3,48,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-09,909,4,3,54,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-10,914,4,3,54,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-11,915,4,3,55,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-12,916,4,3,57,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-13,921,4,3,60,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-14,928,4,3,63,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-15,935,4,3,65,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-16,941,4,3,71,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-17,949,4,3,74,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-18,954,4,3,77,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-19,955,4,3,84,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-20,960,4,3,85,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-21,964,4,3,87,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-22,974,4,3,93,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-23,984,4,3,95,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-24,990,4,3,98,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-25,999,4,3,102,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-26,1000,4,3,103,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-27,1008,4,3,106,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-28,1022,4,3,109,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-29,1034,4,3,114,1033,22,3,265,50,153,25,185,12,839,0,0
2022-06-30,1041,4,3,119,1499,22,3,466,50,160,25,185,12,839,0,0
2022-07-01,1044,4,3,119,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-02,1048,4,3,123,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-03,1048,4,3,127,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-04,1055,4,3,128,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-05,1064,4,3,129,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-06,1071,4,3,133,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-07,1079,4,3,139,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-08,1084,4,3,140,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-09,1088,4,3,141,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-10,1088,4,3,141,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-11,1091,4,3,147,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-12,1101,4,3,148,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-13,1106,4,3,152,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-14,1112,4,3,158,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-15,1119,4,3,158,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-16,1125,4,3,158,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-17,1129,4,3,159,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-18,1138,4,3,163,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-19,1151,4,3,172,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-20,1161,4,3,172,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-21,1170,4,3,173,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-22,1174,4,3,173,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-23,1182,4,3,177,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-24,1184,4,3,177,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-25,1189,4,3,177,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-26,1198,4,3,178,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-27,1206,4,3,186,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-28,1213,4,3,188,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-29,1221,4,3,189,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-30,1223,4,3,191,1499,22,3,469,50,160,25,185,12,839,0,0
2022-07-31,1225,4,3,197,1499,22,3,469,50,160,25,185,12,839,0,0
2022-08-01,1232,4,3,200,1499,22,3,469,50,160,25,185,12,839,0,0
2022-08-02,1235,4,3,206,1499,22,3,469,50,160,25,185,12,839,0,0
