date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,357,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,358,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,360,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,362,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,364,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,364,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,366,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,366,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,369,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,372,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,373,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,373,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,373,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,375,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,375,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,378,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,379,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,380,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,380,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,380,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,382,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,386,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,386,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,389,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,391,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,392,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,392,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,393,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,393,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-08,395,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-09,395,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-10,395,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,395,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,396,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-13,397,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,398,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,398,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-16,402,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-17,407,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,409,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,410,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0
