date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,17,0,0,2,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-11,17,0,0,2,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-12,17,0,0,2,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-13,17,0,0,2,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-14,17,0,0,2,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-15,17,0,0,2,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-16,17,0,0,2,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-17,17,0,0,6,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-18,17,0,0,6,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-19,17,0,0,6,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-20,17,0,0,6,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-21,17,0,0,6,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-22,17,0,0,6,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-23,17,0,0,6,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-24,17,0,0,6,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-25,17,0,0,6,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-26,17,0,0,6,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-27,17,0,0,6,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-28,17,0,0,6,17,1,0,1,0,2,0,0,2,0,0,0
2021-08-29,17,0,0,6,17,1,0,1,0,2,0,0,2,0,0,0
