date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-11,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-12,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-13,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-14,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-15,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-16,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-17,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-18,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-19,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-20,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-21,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-22,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-23,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-24,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-25,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-26,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-27,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-28,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-29,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-30,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-08-31,84,0,8,4,120,3,8,4,25,82,34,194,22,364,0,0
2021-09-01,84,0,8,4,121,3,8,4,25,82,34,194,22,364,0,0
2021-09-02,84,0,8,4,121,3,8,4,25,82,34,194,22,364,0,0
2021-09-03,84,0,8,4,121,3,8,4,25,82,34,194,22,364,0,0
2021-09-04,84,0,8,4,121,3,8,4,25,82,34,194,22,364,0,0
2021-09-05,84,0,8,4,121,3,8,4,25,82,34,194,22,364,0,0
2021-09-06,84,0,8,4,121,3,8,4,25,82,34,194,22,364,0,0
