date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,249,2,14,20,312,57,19,48,63,467,71,243,52,164,41,7
2021-08-11,249,2,14,20,312,57,19,48,63,467,71,243,52,164,41,7
2021-08-12,249,2,14,20,312,57,19,48,63,467,71,243,52,164,41,7
2021-08-13,249,2,14,20,312,57,19,48,63,467,71,243,52,164,41,7
2021-08-14,249,2,14,20,312,57,19,48,63,467,71,243,52,164,41,7
2021-08-15,251,2,14,20,312,57,19,48,63,467,71,243,52,164,41,7
2021-08-16,253,1,14,20,314,57,19,48,63,467,71,243,52,164,41,7
2021-08-17,254,1,14,20,316,57,19,48,63,467,71,243,52,164,41,7
2021-08-18,255,1,14,20,317,57,19,48,63,467,71,243,52,164,41,7
2021-08-19,255,1,14,20,318,57,19,48,63,467,71,243,52,164,41,7
2021-08-20,255,1,14,20,318,57,19,48,63,467,71,243,52,164,41,7
2021-08-21,255,1,14,20,318,57,19,48,63,467,71,243,52,164,41,7
2021-08-22,255,1,14,20,318,57,19,48,63,467,71,243,52,164,41,7
2021-08-23,255,1,14,20,318,57,19,48,63,467,71,243,52,164,41,7
2021-08-24,255,1,14,20,319,57,19,48,63,467,71,243,52,164,41,7
2021-08-25,255,1,14,20,319,57,19,48,63,467,71,243,52,164,41,7
2021-08-26,255,1,14,20,319,57,19,48,63,467,71,243,52,164,41,7
2021-08-27,255,1,14,20,320,57,19,48,63,467,71,243,52,164,41,7
2021-08-28,255,1,14,20,320,57,19,48,63,467,71,243,52,164,41,7
2021-08-29,255,1,14,20,320,57,19,48,63,467,71,243,52,164,41,7
2021-08-30,255,1,14,20,320,57,19,48,63,467,71,243,52,164,41,7
2021-08-31,256,1,14,20,321,57,19,48,63,481,71,243,52,164,41,7
2021-09-01,256,1,14,20,321,57,19,48,63,481,71,243,52,164,41,7
2021-09-02,256,1,14,20,321,57,19,48,63,481,71,243,52,164,41,7
2021-09-03,256,1,14,20,321,57,19,48,63,481,71,243,52,164,41,7
2021-09-04,256,1,14,20,322,57,19,48,63,481,71,243,52,164,41,7
2021-09-05,257,1,14,20,323,57,19,48,63,481,71,243,52,164,41,7
2021-09-06,258,1,14,20,324,57,19,48,63,481,71,243,52,164,41,7
2021-09-07,258,1,14,20,326,57,19,48,63,481,71,243,52,167,41,7
2021-09-08,258,1,14,20,327,57,19,48,63,483,71,243,52,167,41,7
2021-09-09,258,1,14,20,327,57,19,48,63,483,71,243,52,167,41,7
2021-09-10,258,1,14,20,327,57,19,48,63,483,71,243,52,167,41,7
2021-09-11,258,1,14,20,329,57,19,48,63,492,71,243,52,167,41,7
2021-09-12,259,1,14,20,329,57,19,48,63,492,71,243,52,167,41,7
2021-09-13,259,1,14,20,330,57,19,48,63,492,71,243,52,167,41,7
2021-09-14,259,1,14,20,330,57,19,48,63,492,71,243,52,167,41,7
2021-09-15,259,1,14,20,330,57,19,48,63,492,71,243,52,167,41,7
2021-09-16,259,1,14,20,330,57,19,48,63,492,71,245,52,167,41,7
2021-09-17,260,1,14,20,330,57,19,48,63,492,71,245,52,167,41,7
2021-09-18,260,1,14,20,331,57,19,48,63,492,71,245,52,167,41,7
2021-09-19,260,1,14,20,331,57,19,48,63,492,71,245,52,167,41,7
2021-09-20,262,1,14,20,331,57,19,48,63,492,71,245,52,167,41,7
2021-11-22,290,1,14,23,365,57,19,55,63,492,71,120,52,167,41,7
2022-05-03,377,0,15,23,460,58,20,55,63,492,71,120,52,167,41,8
2022-05-07,377,0,15,23,465,58,20,55,63,492,71,120,52,167,41,8
2022-05-08,377,0,15,23,465,58,20,55,63,492,71,120,52,167,41,8
2022-05-09,378,0,15,23,465,58,20,55,63,492,71,120,52,167,41,8
2022-05-10,378,0,15,23,466,58,20,55,63,492,71,120,52,167,41,8
2022-05-11,378,0,15,23,466,58,20,55,63,492,71,120,52,167,41,8
2022-05-12,379,0,15,23,466,58,20,55,63,492,71,120,52,167,41,8
2022-05-13,380,0,15,23,467,58,20,55,63,492,71,120,52,167,41,8
2022-05-14,380,0,15,23,468,58,20,55,63,492,71,120,52,167,41,8
2022-05-15,380,0,15,23,468,58,20,55,63,492,71,120,52,167,41,8
2022-05-16,381,0,15,23,468,58,20,55,63,492,71,120,52,167,41,8
2022-05-17,382,0,15,23,469,58,20,55,63,492,71,120,52,167,41,8
2022-05-18,384,0,15,23,470,58,20,55,63,492,71,120,52,167,41,8
2022-05-19,384,0,15,23,473,58,20,55,63,492,71,120,52,167,41,8
2022-05-20,385,0,15,23,473,58,20,55,63,492,71,120,52,167,41,8
2022-05-21,385,0,15,23,474,58,20,55,63,492,71,120,52,167,41,8
2022-05-22,385,0,15,23,474,58,20,55,63,492,71,120,52,167,41,8
2022-05-23,386,0,15,23,474,58,20,55,63,492,71,120,52,167,41,8
2022-05-24,386,0,15,23,475,58,20,55,63,492,71,120,52,167,41,8
2022-05-25,386,0,15,23,475,58,20,55,63,492,71,120,52,167,41,8
2022-05-26,388,0,15,23,475,58,20,55,63,492,71,120,52,167,41,8
2022-05-27,388,0,15,23,477,58,20,55,63,492,71,120,52,167,41,8
2022-05-28,388,0,15,23,477,58,20,55,63,492,71,120,52,167,41,8
2022-05-29,388,0,15,23,477,58,20,55,63,492,71,120,52,167,41,8
2022-05-30,388,0,15,23,477,58,20,55,63,492,71,120,52,167,41,8
2022-05-31,389,0,15,23,477,58,20,55,63,492,71,120,52,167,41,8
2022-06-01,389,0,15,23,478,58,20,55,63,492,71,120,52,167,41,8
2022-06-02,389,0,15,23,478,58,20,55,63,492,71,120,52,167,41,8
2022-06-03,390,0,15,23,478,58,20,55,63,492,71,120,52,167,41,8
2022-06-04,390,0,15,23,479,58,20,55,63,492,71,120,52,167,41,8
2022-06-05,391,0,15,23,479,58,20,55,63,492,71,120,52,167,41,8
2022-06-06,392,0,15,23,480,58,20,55,63,492,71,120,52,167,41,8
2022-06-07,392,0,15,23,482,58,20,55,63,492,71,120,52,167,41,8
2022-06-08,393,0,15,23,482,58,20,55,63,492,71,120,52,167,41,8
2022-06-09,394,0,15,23,483,58,20,55,63,492,71,120,52,167,41,8
2022-06-10,395,0,15,23,483,58,20,55,63,492,71,120,52,167,41,8
2022-06-11,395,0,15,23,486,58,20,55,63,492,71,120,52,167,41,8
2022-06-12,395,0,15,23,486,58,20,55,63,492,71,120,52,167,41,8
2022-06-13,395,0,15,23,486,58,20,55,63,492,71,120,52,167,41,8
2022-06-14,395,0,15,23,486,58,20,55,63,492,71,120,52,167,41,8
2022-06-15,396,0,15,23,486,58,20,55,63,492,71,120,52,167,41,8
2022-06-16,398,0,15,23,487,58,20,55,63,492,71,120,52,167,41,8
2022-06-17,399,0,15,23,489,58,20,55,63,492,71,120,52,167,41,8
2022-06-18,400,0,15,23,490,58,20,55,63,492,71,120,52,167,41,8
2022-06-19,400,0,15,23,491,58,20,55,63,492,71,120,52,167,41,8
2022-06-20,401,0,15,23,491,58,20,55,63,492,71,120,52,167,41,8
2022-06-21,402,0,15,23,492,58,20,55,63,492,71,120,52,167,41,8
2022-06-22,404,0,15,23,493,58,20,55,63,492,71,120,52,167,41,8
2022-06-23,404,0,15,23,495,58,20,55,63,492,71,120,52,167,41,8
2022-06-24,407,0,15,23,495,58,20,55,63,492,71,120,52,167,41,8
2022-06-25,407,0,15,23,498,58,20,55,63,492,71,120,52,167,41,8
2022-06-26,407,0,15,23,498,58,20,55,63,492,71,120,52,167,41,8
2022-06-27,410,0,15,23,498,58,20,55,63,492,71,120,52,167,41,8
2022-06-28,410,0,15,23,501,58,20,55,63,492,71,120,52,167,41,8
2022-06-29,410,0,15,23,501,58,20,55,63,492,71,120,52,167,41,8
2022-06-30,411,1,15,23,501,58,20,55,63,492,71,120,52,167,41,8
2022-07-01,412,1,15,23,501,58,20,55,63,492,71,120,52,167,41,8
2022-07-02,412,1,15,23,503,58,20,55,63,492,71,120,52,167,41,8
2022-07-03,412,1,15,23,503,58,20,55,63,492,71,120,52,167,41,8
2022-07-04,414,1,15,23,503,58,20,55,63,492,71,120,52,167,41,8
2022-07-05,414,1,15,23,505,58,20,55,63,492,71,120,52,167,41,8
2022-07-06,414,1,15,23,506,58,20,55,63,492,71,120,52,167,41,8
2022-07-07,414,1,15,23,507,58,20,55,63,492,71,120,52,167,41,8
2022-07-08,414,1,15,23,509,58,20,55,63,492,71,120,52,167,41,8
2022-07-09,414,1,15,23,511,58,20,55,63,492,71,120,52,167,41,8
2022-07-10,414,1,15,23,512,58,20,55,63,492,71,120,52,167,41,8
