date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,188,1,52,131,319,1,53,262,99,176,2,29,71,203,1,0
2021-08-11,190,1,52,131,319,1,53,262,99,176,2,29,71,203,1,0
2021-08-12,193,1,52,131,324,1,53,276,99,176,2,29,71,203,1,0
2021-08-13,194,1,52,131,333,1,53,276,99,176,2,29,71,203,1,0
2021-08-14,196,1,52,131,334,1,53,276,99,176,2,29,71,203,1,0
2021-08-15,196,1,52,131,335,1,53,276,99,176,2,29,71,203,1,0
2021-08-16,198,1,52,131,335,1,53,276,99,176,2,29,71,203,1,0
2021-08-17,201,1,52,131,336,1,53,276,99,176,2,29,71,203,1,0
2021-08-18,203,1,52,131,338,1,53,276,99,176,2,29,71,203,1,0
2021-08-19,205,1,53,131,349,1,53,276,99,176,2,29,71,203,1,0
2021-08-20,207,1,53,131,352,1,54,277,100,176,2,29,71,203,1,0
2021-08-21,214,1,53,131,357,1,54,278,99,176,2,29,71,203,1,0
2021-08-22,216,1,53,131,361,1,54,279,101,176,2,29,72,203,1,0
2021-08-23,218,1,53,131,366,1,54,277,101,176,2,29,72,203,1,0
2021-08-24,218,1,53,131,369,1,54,277,101,176,2,29,73,203,1,0
2021-08-25,225,1,53,131,371,1,54,277,101,176,2,30,73,203,1,0
2021-08-26,227,1,53,132,378,1,54,277,101,176,2,30,74,203,1,0
2021-08-27,230,1,53,132,383,1,54,280,103,178,2,30,74,203,1,0
2021-08-28,231,1,53,132,389,1,54,282,103,178,2,30,74,203,1,0
2021-08-29,233,1,53,132,391,1,54,282,103,178,2,30,74,203,1,0
2021-08-30,234,1,53,132,392,1,54,282,103,178,2,30,74,203,1,0
2021-08-31,234,1,53,132,394,1,54,282,103,178,2,30,74,203,1,0
2021-09-01,243,1,53,132,395,1,54,282,103,178,2,30,74,203,1,0
2021-09-02,243,0,53,132,404,1,54,282,103,178,2,30,74,203,1,0
2021-09-03,245,0,53,132,406,1,54,282,103,178,2,30,74,203,1,0
2021-09-04,248,0,54,132,408,1,54,283,98,178,2,30,74,203,1,0
2021-09-05,248,0,54,132,410,1,55,283,98,178,2,30,74,203,1,0
2021-09-06,249,0,54,132,411,1,55,283,98,178,2,30,75,203,1,0
2021-09-07,251,0,54,132,412,1,55,283,98,178,2,30,75,203,1,0
2021-09-08,253,0,54,132,416,1,55,283,98,178,2,30,75,203,1,0
2021-09-09,253,0,54,132,418,1,55,283,98,178,2,30,75,203,1,0
2021-09-10,253,0,54,132,420,1,55,283,98,178,2,30,75,203,1,0
2021-09-11,254,0,54,132,420,1,55,283,98,178,2,30,75,203,1,0
2021-09-12,254,0,54,132,421,1,55,283,98,178,2,30,75,203,1,0
2021-09-13,257,0,54,132,421,1,55,283,98,178,2,30,75,203,1,0
2021-09-14,258,0,54,132,424,1,55,283,98,178,2,30,75,203,1,0
2021-09-15,260,0,54,137,427,1,55,283,98,178,2,30,75,203,1,0
