date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,632,0,17,421,1850,2,17,650,25,221,2,5,310,221,1,0
2023-02-12,632,0,17,421,1850,2,17,650,25,221,2,5,310,221,1,0
2023-02-13,632,0,17,421,1850,2,17,650,25,221,2,5,310,221,1,0
2023-02-14,632,0,17,421,1850,2,17,650,25,221,2,5,310,221,1,0
2023-02-15,632,0,17,422,1850,2,17,650,25,221,2,5,310,221,1,0
2023-02-16,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-02-17,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-02-18,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-02-19,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-02-20,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-02-21,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-02-22,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-02-23,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-02-24,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-02-25,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-02-26,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-02-27,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-02-28,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-03-01,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-03-02,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-03-03,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-03-04,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-03-05,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-03-06,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-03-07,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-03-08,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-03-09,632,0,17,422,1850,2,17,651,25,221,2,5,310,221,1,0
2023-03-10,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-11,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-12,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-13,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-14,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-15,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-16,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-17,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-18,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-19,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-20,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-21,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-22,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-23,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-24,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-25,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-26,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-27,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-28,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-29,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-30,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-03-31,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-04-01,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
2023-04-02,632,0,17,423,1850,2,17,652,25,221,2,5,310,221,1,0
