date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,364,1,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-11,364,1,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-12,364,1,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-13,364,1,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-16,364,1,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-17,364,1,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-18,364,1,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-19,364,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-20,364,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-21,364,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-22,364,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-23,364,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-24,364,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-25,365,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-26,365,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-27,365,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-28,365,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-29,365,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-30,365,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-08-31,365,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-09-01,365,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-09-02,365,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-09-03,376,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-09-04,380,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-09-05,382,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-09-06,393,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-09-07,404,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-09-09,411,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-09-10,413,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
2021-09-11,414,2,0,14,251,4,3,14,12,115,0,6,1,56,0,0
