date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,33457,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-12,33457,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-13,33459,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-14,33459,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-15,33460,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-16,33460,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-17,33460,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-18,33460,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-19,33461,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-20,33462,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-21,33463,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-22,33465,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-23,33471,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-24,33472,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-25,33472,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-26,33472,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27,33474,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-28,33476,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-01,33477,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02,33481,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-03,33482,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-04,33483,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-05,33483,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-06,33484,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-07,33485,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-08,33486,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-09,33489,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-10,33490,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11,33490,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-12,33492,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-13,33500,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14,33503,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-15,33510,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-16,33511,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-17,33512,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-18,33513,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-19,33513,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-20,33515,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-21,33515,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-22,33518,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23,33519,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-24,33523,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-25,33523,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-26,33525,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-27,33526,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-28,33528,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-29,33528,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-30,33529,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-31,33530,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,33530,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-02,33532,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-03,33535,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04,33537,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05,33538,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-06,33540,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-07,33543,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-08,33543,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-09,33543,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-10,33543,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-11,33545,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-12,33547,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-13,33548,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-14,33548,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-15,33549,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-16,33550,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-17,33550,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-18,33551,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-19,33551,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-20,33553,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-21,33553,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-22,33553,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-23,33554,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-24,33558,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-25,33559,1,1,101,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-26,33630,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-27,33631,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-28,33637,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-29,33637,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-30,33638,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,33641,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-02,33642,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-03,33643,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-04,33644,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-05,33644,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-06,33644,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-07,33644,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-08,33644,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-09,33644,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-10,33644,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-11,33645,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-12,33645,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-13,33645,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-14,33645,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-15,33645,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-16,33645,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-17,33645,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-18,33645,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-19,33645,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-20,33645,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-21,33645,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-22,33645,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-23,33645,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-24,33645,1,1,102,0,0,0,0,0,0,0,0,0,0,0,0
