date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,20178,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,20178,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,20178,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,20178,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,20178,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,20178,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,20178,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,20181,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,20181,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,20181,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,20181,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,20181,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,20181,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,20183,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,20184,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,20184,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,20186,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,20190,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,20192,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,20192,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,20196,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,20197,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,20201,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0
