date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
