date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,1330,6,0,2218,2105,6,0,2216,0,1360,0,2371,4063,0,0,0
2021-08-11,1345,6,0,2222,2138,6,0,2219,0,1360,0,2558,4071,0,0,0
2021-08-12,1375,6,0,2228,2169,6,0,2223,0,1360,0,2730,4102,0,0,0
2021-08-13,1386,6,0,2233,2205,6,0,2229,0,1360,0,2936,4114,0,0,0
2021-08-14,1393,6,0,2243,2221,6,0,2234,0,1360,0,2973,4173,0,0,0
2021-08-15,1405,6,0,2245,2234,6,0,2244,0,1360,0,3038,4173,0,0,0
2021-08-16,1417,6,0,2249,2251,6,0,2246,0,1360,0,3185,4175,0,0,0
2021-08-17,1444,6,0,2251,2280,6,0,2248,0,1360,0,3385,4240,0,0,0
2021-08-18,1543,6,0,2255,2319,6,0,2252,0,1360,0,3602,4242,0,0,0
2021-08-19,1662,6,0,2258,2475,6,0,2256,0,1360,0,4255,4276,0,0,0
2021-08-20,1745,6,0,2262,2661,6,0,2259,0,1359,0,5061,4307,0,0,0
2021-08-21,1784,6,0,2271,2803,6,0,2263,0,1359,0,5624,4380,0,0,0
2021-08-22,1845,6,0,2282,2886,6,0,2267,0,1359,0,6058,4412,0,0,0
2021-08-23,1931,6,0,2287,2977,6,0,2283,0,1359,0,6516,4486,0,0,0
2021-08-24,1963,6,0,2287,3112,6,0,2288,0,1359,0,7062,4518,0,0,0
2021-08-25,1975,6,0,2287,3112,6,0,2288,0,1359,0,7062,4518,0,0,0
2021-08-26,1988,6,0,2288,3298,6,0,2288,0,1359,0,7639,4530,0,0,0
2021-08-27,2034,6,0,2292,3366,6,0,2289,0,1359,0,7810,4561,0,0,0
2021-08-28,2064,6,0,2295,3442,6,0,2293,0,1359,0,8093,4604,0,0,0
2021-08-29,2107,6,0,2301,3491,6,0,2296,0,1359,0,8346,4621,0,0,0
2021-08-30,2152,6,0,2303,3554,6,0,2302,0,1359,0,8708,4654,0,0,0
2021-08-31,2219,6,0,2305,3624,6,0,2304,0,1359,0,8995,4677,0,0,0
