date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,365,0,0,414,551,2,0,416,37,346,124,7345,38,152,0,0
2021-08-11,365,0,0,414,552,2,0,416,37,346,124,7345,38,152,0,0
2021-08-12,365,0,0,414,553,2,0,416,37,346,124,7345,38,152,0,0
2021-08-13,366,0,0,414,553,2,0,416,37,346,124,7345,38,152,0,0
2021-08-14,366,0,0,414,554,2,0,416,37,346,124,7345,38,152,0,0
2021-08-15,366,0,0,414,555,2,0,416,37,346,124,7345,38,152,0,0
2021-08-16,369,0,0,414,555,2,0,416,37,346,124,7345,38,152,0,0
2021-08-17,370,0,0,414,560,2,0,416,37,346,124,7345,38,152,0,0
2021-08-18,370,0,0,414,560,2,0,416,37,346,124,7345,38,152,0,0
2021-08-19,370,0,0,414,560,2,0,416,37,346,124,7345,38,152,0,0
2021-08-20,371,0,0,414,565,2,0,416,37,346,124,7345,38,152,0,0
2021-08-21,372,0,0,414,568,2,0,416,37,346,124,7345,38,152,0,0
2021-08-22,373,0,0,414,569,2,0,416,37,346,124,7345,38,152,0,0
2021-08-23,374,0,0,414,570,2,0,416,37,346,124,7345,38,152,0,0
2021-08-24,375,0,0,414,571,2,0,416,37,346,124,7345,38,152,0,0
2021-08-25,375,0,0,414,572,2,0,416,37,346,124,7345,38,152,0,0
2021-08-26,375,0,0,414,572,2,0,416,37,346,124,7345,38,152,0,0
2021-08-27,378,0,0,414,572,2,0,416,37,346,124,7345,38,152,0,0
2021-08-28,378,0,0,414,582,2,0,416,37,346,124,7345,38,152,0,0
2021-08-29,378,0,0,414,583,2,0,416,37,346,124,7345,38,152,0,0
2021-08-30,379,0,0,414,585,2,0,416,37,346,124,7345,38,152,0,0
2021-08-31,380,0,0,414,586,2,0,416,37,346,124,7345,38,152,0,0
2021-09-01,381,0,0,414,588,2,0,416,37,346,124,7345,38,152,0,0
2021-09-02,384,0,0,414,590,2,0,416,37,346,124,7345,38,152,0,0
2021-09-03,384,0,0,414,593,2,0,416,37,346,124,7345,38,152,0,0
2021-09-04,384,0,0,414,594,2,0,416,37,346,124,7345,38,152,0,0
2021-09-05,384,0,0,414,594,2,0,416,37,346,124,7345,38,152,0,0
2021-09-06,388,0,0,414,594,2,0,416,37,346,124,7345,38,152,0,0
2021-09-07,389,0,0,414,598,2,0,416,37,346,124,7345,38,152,0,0
2021-09-08,391,0,0,414,599,2,0,416,37,346,124,7345,38,152,0,0
2021-09-09,396,0,0,414,601,2,0,416,37,346,124,7345,38,152,0,0
2021-09-10,397,0,0,414,609,2,0,416,37,346,124,7345,38,152,0,0
2021-09-11,397,0,0,414,614,2,0,416,37,346,124,7345,38,152,0,0
2021-09-12,398,0,0,414,614,2,0,416,37,346,124,7345,38,152,0,0
2021-09-13,399,0,0,414,615,2,0,416,37,346,124,7345,38,152,0,0
2021-09-14,400,0,0,414,623,2,0,416,37,346,124,7345,38,152,0,0
