date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,187,1,2,1,265,11,2,27,1,130,0,5,7,3,9,2
2021-08-11,189,1,2,1,278,11,2,27,1,130,0,5,7,3,9,2
2021-08-12,190,1,2,1,281,11,2,27,1,130,0,5,7,3,9,2
2021-08-13,191,1,2,1,282,11,2,27,1,130,0,5,7,3,9,2
2021-08-14,191,1,2,1,284,11,2,27,1,130,0,5,7,3,9,2
2021-08-15,191,1,2,1,284,11,2,27,1,130,0,5,7,3,9,2
2021-08-16,193,1,2,1,284,11,2,27,1,130,0,5,7,3,9,2
2021-08-17,195,1,2,1,285,11,2,27,1,130,0,5,7,3,9,2
2021-08-18,195,1,2,1,288,11,2,27,1,130,0,5,7,3,9,2
2021-08-19,199,1,2,1,288,11,2,27,1,130,0,5,7,3,9,2
2021-08-20,200,1,2,1,293,11,2,27,1,130,0,5,7,3,9,2
2021-08-21,200,1,2,1,294,11,2,27,1,130,0,5,7,3,9,2
2021-08-22,200,1,2,1,294,11,2,27,1,130,0,5,7,3,9,2
2021-08-23,201,1,2,1,294,11,2,27,1,130,0,5,7,3,9,2
2021-08-24,202,1,2,1,295,11,2,27,1,130,0,5,7,3,9,2
2021-08-25,202,1,2,1,296,11,2,27,1,130,0,5,7,3,9,2
2021-08-26,203,1,2,1,297,11,2,27,1,130,0,5,7,3,9,2
2021-08-27,203,1,2,1,299,11,2,27,1,130,0,5,7,3,9,2
2021-08-28,203,1,2,1,299,11,2,27,1,130,0,5,7,3,9,2
2021-08-29,203,1,2,1,299,11,2,27,1,130,0,5,7,3,9,2
2021-08-30,204,1,2,1,299,11,2,27,1,130,0,5,7,3,9,2
2021-08-31,204,1,2,1,300,11,2,27,1,130,0,5,7,3,9,2
2021-09-01,206,1,2,1,300,11,2,27,1,130,0,5,7,3,9,2
2021-09-02,207,1,2,1,303,11,2,27,1,130,0,5,7,3,9,2
2021-09-03,209,1,2,1,306,11,2,27,1,130,0,5,7,3,9,2
2021-09-04,211,1,2,1,308,11,2,27,1,130,0,5,7,3,9,2
2021-09-05,211,1,2,1,311,11,2,27,1,130,0,5,7,3,9,2
2021-09-06,211,1,2,1,311,11,2,27,1,130,0,5,7,3,9,2
2021-09-07,211,1,2,1,311,11,2,27,1,130,0,5,7,3,9,2
2021-09-08,211,1,2,1,312,11,2,27,1,130,0,5,7,3,9,2
2021-09-09,214,1,2,1,313,11,2,27,1,130,0,5,7,3,9,2
2021-09-10,215,1,2,1,321,11,2,27,1,130,0,5,7,3,9,2
2021-09-11,216,1,2,1,323,11,2,27,1,130,0,5,7,3,9,2
2021-09-12,216,1,2,1,324,11,2,27,1,130,0,5,7,3,9,2
