date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,194,1,0,38,287,1,0,72,0,32,6,0,337,0,0,2
2021-08-11,194,1,0,38,287,1,0,72,0,32,6,0,337,0,0,2
2021-08-12,195,1,0,38,288,1,0,72,0,32,6,0,337,0,0,2
2021-08-13,195,1,0,38,289,1,0,72,0,32,6,0,337,0,0,2
2021-08-14,195,1,0,38,289,1,0,72,0,32,6,0,337,0,0,2
2021-08-15,195,1,0,38,290,1,0,72,0,32,6,0,337,0,0,2
2021-08-16,195,1,0,38,290,1,0,72,0,32,6,0,337,0,0,2
2021-08-17,196,1,0,38,291,1,0,72,0,32,6,0,338,0,0,2
2021-08-18,198,1,0,38,291,1,0,72,0,32,6,0,338,0,0,2
2021-08-19,198,1,0,38,293,1,0,72,0,32,6,0,339,0,0,2
2021-08-20,198,1,0,38,294,1,0,72,0,32,6,0,339,0,0,2
2021-08-21,198,1,0,38,294,1,0,72,0,32,6,0,339,0,0,2
2021-08-22,198,1,0,38,294,1,0,72,0,32,6,0,339,0,0,2
2021-08-23,198,1,0,38,294,1,0,72,0,32,6,0,339,0,0,2
2021-08-24,198,1,0,38,294,1,0,72,0,32,7,0,339,0,0,2
2021-08-25,199,1,0,38,294,1,0,72,0,32,7,0,339,0,0,2
2021-08-26,199,1,0,38,295,1,0,72,0,32,9,0,339,0,0,2
2021-08-27,199,1,0,38,295,1,0,72,0,32,10,0,339,0,0,2
2021-08-28,199,1,0,38,295,1,0,72,0,32,10,0,340,0,0,2
2021-08-29,199,1,0,38,295,1,0,72,0,32,10,0,340,0,0,2
2021-08-30,199,1,0,38,296,1,0,72,0,32,10,0,340,0,0,2
2021-08-31,205,1,0,41,296,1,0,72,0,32,11,0,340,0,0,2
2021-09-01,206,1,0,41,306,1,0,75,0,32,11,0,342,0,0,2
2021-09-02,210,1,0,41,308,1,0,75,0,32,11,0,342,0,0,2
2021-09-03,213,1,0,41,316,1,0,75,0,32,11,0,342,0,0,2
2021-09-04,214,1,0,41,318,1,0,75,0,32,11,0,342,0,0,2
2021-09-05,214,1,0,41,319,1,0,75,0,32,11,0,342,0,0,2
2021-09-06,214,1,0,41,319,1,0,75,0,32,11,0,342,0,0,2
2021-09-07,217,1,0,41,319,1,0,75,0,32,11,0,342,0,0,2
2021-09-08,217,1,0,41,322,1,0,75,0,32,11,0,342,0,0,2
2021-09-09,220,1,0,41,323,1,0,75,0,32,11,0,342,0,0,2
2021-09-10,224,1,0,42,331,1,0,75,0,32,11,0,344,0,0,2
2021-09-11,224,1,0,42,339,1,0,76,0,32,11,0,351,0,0,2
2021-09-12,224,1,0,42,340,1,0,76,0,32,11,0,351,0,0,2
2021-09-13,226,1,0,42,340,1,0,76,0,32,11,0,351,0,0,2
2021-09-14,226,1,0,42,342,1,0,76,0,32,11,0,355,0,0,2
2021-09-15,226,1,0,42,345,1,0,76,0,32,11,0,357,0,0,2
2021-09-16,227,1,0,42,345,1,0,76,0,32,11,0,357,0,0,2
2021-09-17,228,1,0,42,346,1,0,76,0,32,11,0,357,0,0,2
2021-09-18,229,1,0,42,347,1,0,76,0,32,11,0,357,0,0,2
2021-09-19,229,1,0,42,349,1,0,76,0,32,11,0,357,0,0,2
2021-09-20,231,1,0,42,349,1,0,76,0,32,11,0,357,0,0,2
2021-11-22,314,1,0,42,505,1,0,76,0,32,11,0,361,0,0,2
2022-05-03,488,1,0,42,853,1,0,76,0,32,11,0,361,0,0,2
2022-05-07,492,1,0,42,859,1,0,76,0,32,11,0,361,0,0,2
2022-05-08,492,1,0,42,860,1,0,76,0,32,11,0,361,0,0,2
2022-05-09,496,1,0,42,866,1,0,76,0,32,11,0,361,0,0,2
2022-05-10,498,1,0,42,868,1,0,76,0,32,11,0,361,0,0,2
2022-05-11,499,1,0,42,869,1,0,76,0,32,11,0,361,0,0,2
2022-05-12,502,1,0,42,873,1,0,76,0,32,11,0,361,0,0,2
2022-05-13,503,1,0,42,875,1,0,76,0,32,11,0,361,0,0,2
2022-05-14,504,1,0,42,876,1,0,76,0,32,11,0,361,0,0,2
2022-05-15,506,1,0,42,878,1,0,76,0,32,11,0,361,0,0,2
2022-05-16,508,1,0,42,881,1,0,76,0,32,11,0,361,0,0,2
2022-05-17,508,1,0,42,883,1,0,76,0,32,11,0,361,0,0,2
2022-05-18,508,1,0,42,885,1,0,76,0,32,11,0,361,0,0,2
2022-05-19,509,1,0,42,887,1,0,76,0,32,11,0,361,0,0,2
2022-05-20,510,1,0,42,889,1,0,76,0,32,11,0,361,0,0,2
2022-05-21,510,1,0,42,891,1,0,76,0,32,11,0,361,0,0,2
2022-05-22,510,1,0,42,892,1,0,76,0,32,11,0,361,0,0,2
2022-05-23,512,1,0,42,895,1,0,76,0,32,11,0,361,0,0,2
2022-05-24,514,1,0,42,902,1,0,76,0,32,11,0,361,0,0,2
2022-05-25,518,1,0,42,906,1,0,76,0,32,11,0,361,0,0,2
2022-05-26,520,1,0,42,908,1,0,76,0,32,11,0,361,0,0,2
2022-05-27,522,1,0,42,911,1,0,76,0,32,11,0,361,0,0,2
2022-05-28,524,1,0,42,913,1,0,76,0,32,11,0,361,0,0,2
2022-05-29,525,1,0,42,914,1,0,76,0,32,11,0,361,0,0,2
2022-05-30,526,1,0,42,917,1,0,76,0,32,11,0,361,0,0,2
2022-05-31,527,1,0,42,919,1,0,76,0,32,11,0,361,0,0,2
2022-06-01,530,1,0,42,925,1,0,76,0,32,11,0,361,0,0,2
2022-06-02,531,1,0,42,926,1,0,76,0,32,11,0,361,0,0,2
2022-06-03,531,1,0,42,926,1,0,76,0,32,11,0,361,0,0,2
2022-06-04,531,1,0,44,928,1,0,78,0,32,11,0,361,0,0,2
2022-06-05,531,1,0,44,928,1,0,78,0,32,11,0,361,0,0,2
2022-06-06,532,1,0,44,931,1,0,78,0,32,11,0,361,0,0,2
2022-06-07,533,1,0,44,933,1,0,78,0,32,11,0,361,0,0,2
2022-06-08,536,1,0,44,938,1,0,78,0,32,11,0,361,0,0,2
2022-06-09,541,1,0,44,946,1,0,78,0,32,11,0,361,0,0,2
2022-06-10,545,1,0,44,951,1,0,78,0,32,11,0,361,0,0,2
2022-06-11,546,1,0,44,955,1,0,78,0,32,11,0,361,0,0,2
2022-06-12,547,1,0,44,956,1,0,78,0,32,11,0,361,0,0,2
2022-06-13,547,1,0,44,958,1,0,78,0,32,11,0,361,0,0,2
2022-06-14,550,1,0,44,962,1,0,78,0,32,11,0,361,0,0,2
2022-06-15,553,1,0,44,969,1,0,78,0,32,11,0,361,0,0,2
2022-06-16,556,1,0,44,974,1,0,78,0,32,11,0,361,0,0,2
2022-06-17,557,1,0,44,977,1,0,78,0,32,11,0,361,0,0,2
2022-06-18,557,1,0,44,979,1,0,78,0,32,11,0,361,0,0,2
2022-06-19,557,1,0,44,980,1,0,78,0,32,11,0,361,0,0,2
2022-06-20,559,1,0,44,985,1,0,78,0,32,11,0,361,0,0,2
2022-06-21,560,1,0,44,989,1,0,78,0,32,11,0,361,0,0,2
2022-06-22,561,1,0,44,995,1,0,78,0,32,11,0,361,0,0,2
2022-06-23,565,1,0,44,997,1,0,78,0,32,11,0,361,0,0,2
2022-06-24,565,1,0,44,999,1,0,78,0,32,11,0,361,0,0,2
2022-06-25,566,1,0,44,1000,1,0,78,0,32,11,0,361,0,0,2
2022-06-26,566,1,0,44,1000,1,0,78,0,32,11,0,361,0,0,2
2022-06-27,568,1,0,44,1004,1,0,78,0,32,11,0,361,0,0,2
2022-06-28,572,1,0,44,1009,1,0,78,0,32,11,0,361,0,0,2
