date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,21,1,5,0,33,1,5,0,1,7,2,1,7,0,0,0
2021-08-11,22,1,5,0,34,1,5,0,1,8,5,1,7,0,0,0
2021-08-12,22,1,5,0,35,1,5,0,1,8,5,1,7,0,0,0
2021-08-13,22,1,5,0,35,1,5,0,1,8,5,1,7,0,0,0
2021-08-14,22,1,5,0,36,1,5,0,1,8,5,1,7,0,0,0
2021-08-15,22,1,5,0,36,1,5,0,1,8,5,1,7,0,0,0
2021-08-16,22,1,5,0,36,1,5,0,1,8,5,1,7,0,0,0
2021-08-17,22,1,5,0,36,1,5,0,1,8,5,1,7,0,0,0
2021-08-18,22,1,5,0,36,1,5,0,1,8,5,1,7,0,0,0
2021-08-19,23,1,5,0,36,1,5,0,1,8,5,1,7,0,0,0
2021-08-20,23,1,5,0,40,1,5,0,1,8,5,1,7,0,0,0
2021-08-21,23,1,5,0,40,1,5,0,1,8,5,1,7,0,0,0
2021-08-22,23,1,5,0,40,1,5,0,1,8,5,1,7,0,0,0
2021-08-23,23,1,5,0,40,1,5,0,1,8,5,1,7,0,0,0
2021-08-24,23,1,5,0,40,1,5,0,1,8,5,1,7,0,0,0
2021-08-25,23,1,5,3,40,1,5,0,1,8,5,1,7,0,0,0
2021-08-26,23,1,5,3,40,1,5,3,1,8,5,1,7,0,0,0
2021-08-27,23,1,5,3,40,1,5,3,1,8,5,1,7,0,0,0
2021-08-28,23,1,5,3,40,1,5,3,1,8,5,1,7,0,0,0
2021-08-29,23,1,5,3,40,1,5,3,1,8,5,1,7,0,0,0
2021-08-30,23,1,5,3,40,1,5,3,1,8,5,1,7,0,0,0
2021-08-31,24,1,5,3,40,1,5,3,1,8,5,1,7,0,0,0
2021-09-01,24,1,5,3,40,1,5,3,1,8,5,1,7,0,0,0
2021-09-02,24,1,5,3,40,1,5,3,1,8,5,1,7,0,0,0
2021-09-03,25,1,5,3,40,1,5,3,1,8,5,1,7,0,0,0
2021-09-04,25,1,5,3,41,1,5,3,1,8,5,1,8,0,0,0
2021-09-05,25,1,5,3,42,1,5,3,1,8,5,1,8,0,0,0
2021-09-06,25,1,5,3,42,1,5,3,1,8,5,1,8,0,0,0
2021-09-07,25,1,5,3,42,1,5,3,1,8,5,1,8,0,0,0
2021-09-08,25,1,5,3,42,1,5,3,1,8,5,1,8,0,0,0
2021-09-09,25,1,5,3,42,1,5,3,1,8,5,1,8,0,0,0
