date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-11,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-12,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-13,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-16,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-17,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-18,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-19,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-20,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-21,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-22,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-23,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-24,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-25,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-26,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-27,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-28,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-29,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-30,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-08-31,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-01,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-02,145,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-03,148,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-04,148,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-05,148,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-06,149,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-07,149,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-09,155,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-10,156,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-11,157,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-13,157,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-14,161,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-15,162,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-16,163,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-17,166,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-18,167,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-19,167,0,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-09-20,170,2,0,59,82,12,0,86,0,19,0,4,3,2,0,0
2021-11-22,345,1,0,61,82,12,0,86,0,19,0,4,3,2,0,0
2021-11-24,350,1,0,61,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-03,689,5,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-07,694,6,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-08,696,6,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-09,699,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-10,703,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-11,706,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-12,710,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-13,715,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-14,718,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-15,719,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-16,722,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-17,723,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-18,728,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-19,732,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-20,736,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-21,736,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-22,736,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-23,739,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-24,747,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-25,751,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-26,754,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-27,759,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-28,761,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-29,762,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-30,763,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-05-31,764,15,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-01,771,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-02,772,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-03,776,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-04,779,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-05,780,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-06,792,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-07,797,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-08,807,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-09,815,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-10,822,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-11,823,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-12,826,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-13,833,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-14,841,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-15,848,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-16,859,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-17,862,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-18,864,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-19,865,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-20,871,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-21,878,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-22,885,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-23,891,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-24,897,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-25,900,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-26,902,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-27,909,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-28,913,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-29,920,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-06-30,925,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-07-01,930,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-07-02,932,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-07-03,933,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
2022-07-04,934,14,0,62,82,12,0,86,0,19,0,4,3,2,0,0
