date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,3106,0,18,2458,4523,7,18,2930,227,724,1,4,3449,0,46,0
2021-08-11,3108,0,18,2458,4542,7,18,2930,227,724,1,4,3449,0,46,0
2021-08-12,3115,0,18,2458,4548,7,18,2930,227,724,1,4,3449,0,46,0
2021-08-13,3123,0,18,2458,4561,7,18,2930,227,724,1,4,3449,0,46,0
2021-08-14,3124,0,18,2458,4575,7,18,2930,227,724,1,4,3449,0,46,0
2021-08-15,3126,0,18,2458,4577,7,18,2930,227,724,1,4,3449,0,46,0
2021-08-16,3138,0,18,2458,4579,7,18,2931,227,724,1,4,3449,0,46,0
2021-08-17,3157,0,18,2458,4597,7,18,2931,227,724,1,4,3449,0,46,0
2021-08-18,3170,0,18,2458,4623,7,18,2933,227,724,1,4,3449,0,45,0
2021-08-19,3171,0,18,2458,4639,7,18,2933,227,724,1,4,3449,0,48,0
2021-08-20,3175,0,18,2458,4650,7,18,2933,227,724,1,4,3449,0,48,0
2021-08-21,3178,0,18,2458,4657,7,18,2933,227,724,1,4,3449,0,48,0
2021-08-22,3178,0,18,2458,4663,7,18,2933,227,724,1,4,3449,0,48,0
2021-08-23,3180,0,18,2458,4665,7,18,2933,227,724,1,4,3449,0,48,0
2021-08-24,3187,0,18,2458,4672,7,18,2933,227,724,1,4,3449,0,48,0
2021-08-25,3200,0,18,2458,4686,7,18,2933,227,724,1,4,3449,0,48,0
2021-08-26,3206,0,18,2458,4710,7,18,2933,227,724,1,4,3449,0,48,0
2021-08-27,3208,0,18,2458,4723,7,18,2933,227,724,1,4,3449,0,48,0
2021-08-28,3211,0,18,2458,4730,7,18,2933,227,724,1,4,3449,0,48,0
2021-08-29,3214,0,18,2458,4736,7,18,2933,227,724,1,4,3449,0,48,0
2021-08-30,3218,0,18,2458,4743,7,18,2933,227,724,1,4,3449,0,48,0
2021-08-31,3226,0,18,2458,4752,7,18,2933,227,724,1,4,3449,0,48,0
2021-09-01,3232,0,18,2458,4764,7,18,2933,227,724,1,4,3449,0,49,0
2021-09-02,3234,0,18,2458,4773,7,18,2933,227,724,1,4,3449,0,49,0
2021-09-03,3237,0,18,2458,4782,7,18,2933,227,724,1,4,3449,0,49,0
2021-09-04,3241,0,18,2458,4789,7,18,2933,227,724,1,4,3449,0,49,0
2021-09-05,3245,0,18,2458,4798,7,18,2933,227,724,1,4,3449,0,49,0
2021-09-06,3249,0,18,2458,4803,7,18,2933,227,724,1,4,3449,0,49,0
2021-09-07,3249,0,18,2458,4811,7,18,2933,227,724,1,4,3449,0,49,0
2021-09-08,3254,0,18,2458,4820,7,18,2933,227,724,1,4,3449,0,49,0
2021-09-09,3261,0,18,2458,4829,7,18,2933,227,724,1,4,3449,0,49,0
2021-09-10,3267,0,18,2458,4843,7,18,2933,227,724,1,4,3449,0,49,0
2021-09-11,3268,0,18,2458,4857,7,18,2933,227,724,1,4,3449,0,49,0
2021-09-12,3268,0,18,2458,4859,7,18,2933,227,724,1,4,3449,0,49,0
2021-09-13,3279,0,18,2458,4864,7,18,2933,227,724,1,4,3449,0,49,0
2021-09-14,3284,0,18,2458,4878,7,18,2933,227,724,1,4,3449,0,49,0
2021-09-15,3291,0,18,2458,4891,7,18,2933,227,724,1,4,3449,0,49,0
2021-09-16,3299,0,18,2458,4901,7,18,2934,227,724,1,4,3449,0,49,0
2021-09-17,3308,0,18,2458,4917,7,18,2934,227,724,1,4,3449,0,49,0
2021-09-18,3311,0,18,2458,4931,7,18,2934,227,724,1,4,3449,0,49,0
2021-09-19,3313,0,18,2458,4936,7,18,2934,227,724,1,4,3449,0,49,0
2021-09-20,3319,0,18,2458,4939,7,18,2934,227,724,1,4,3449,0,49,0
2021-11-22,3612,0,18,2458,5454,7,18,2937,227,724,1,4,3449,0,78,0
2022-05-03,4239,0,18,2454,6484,7,18,2952,227,724,1,4,3436,0,83,0
2022-05-07,4253,0,18,2454,6506,7,18,3048,250,1176,1,4,3436,0,85,0
2022-05-08,4255,0,18,2454,6506,7,18,2952,227,724,1,4,3436,0,85,0
2022-05-09,4262,0,18,2454,6515,7,18,2952,227,724,1,4,3436,0,85,0
