date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,299,2,7,0,459,4,8,1,2,59,0,0,0,266,0,0
2021-08-11,301,2,7,0,461,4,8,1,2,59,0,0,0,266,0,0
2021-08-12,303,2,7,0,463,4,8,1,2,59,0,0,0,266,0,0
2021-08-13,303,2,7,0,465,4,8,1,2,59,0,0,0,266,0,0
2021-08-14,304,2,7,0,465,4,8,1,2,59,0,0,0,266,0,0
2021-08-15,304,2,7,0,467,4,8,1,2,59,0,0,0,266,0,0
2021-08-16,304,2,7,0,467,4,8,1,2,59,0,0,0,266,0,0
2021-08-17,304,2,7,0,468,4,8,1,2,59,0,0,0,266,0,0
2021-08-18,305,2,7,0,468,4,8,1,2,59,0,0,0,266,0,0
2021-08-19,306,2,7,0,469,4,8,1,2,59,0,0,0,266,0,0
2021-08-20,306,2,7,0,471,4,8,1,2,59,0,0,0,266,0,0
2021-08-21,306,1,7,0,471,4,8,1,2,59,0,0,0,266,0,0
2021-08-22,306,1,7,0,471,4,8,1,2,59,0,0,0,266,0,0
2021-08-23,306,1,7,0,471,4,8,1,2,59,0,0,0,266,0,0
2021-08-24,306,1,7,0,471,4,8,1,2,59,0,0,0,266,0,0
2021-08-25,308,1,7,0,471,4,8,1,2,59,0,0,0,266,0,0
2021-08-26,309,1,7,0,473,4,8,1,2,59,0,0,0,266,0,0
2021-08-27,309,1,7,0,474,4,8,1,2,59,0,0,0,266,0,0
2021-08-28,309,1,7,0,475,4,8,1,2,59,0,0,0,266,0,0
2021-08-29,309,1,7,0,475,4,8,1,2,59,0,0,0,266,0,0
2021-08-30,312,1,7,0,475,4,8,1,2,59,0,0,0,266,0,0
2021-08-31,313,0,7,0,478,5,8,1,2,59,0,0,0,266,0,0
2021-09-01,313,0,7,0,482,5,8,1,2,59,0,0,0,280,0,0
2021-09-02,313,1,7,0,483,5,8,1,2,59,0,0,0,280,0,0
2021-09-03,332,1,7,0,487,5,8,1,2,59,0,0,0,280,0,0
2021-09-04,337,1,7,0,731,5,8,1,2,59,0,0,0,294,0,0
2021-09-05,338,1,7,0,740,5,8,1,2,59,0,0,0,432,0,0
2021-09-06,343,1,7,0,743,5,8,1,2,59,0,0,0,542,0,0
2021-09-07,348,1,7,0,749,5,8,1,2,59,0,0,0,638,0,0
2021-09-08,354,1,7,0,752,5,8,1,2,59,0,0,0,720,0,0
2021-09-09,356,1,7,0,756,5,8,1,2,59,0,0,0,862,0,0
2021-09-10,360,1,7,0,759,5,8,1,2,59,0,0,0,908,0,0
2021-09-11,362,1,7,0,770,5,8,1,2,59,0,0,0,1086,0,0
2021-09-12,365,1,7,0,772,5,8,1,2,59,0,0,0,1100,0,0
2021-09-13,367,1,7,0,774,5,8,1,2,59,0,0,0,1100,0,0
2021-09-14,369,1,7,0,781,5,8,1,2,59,0,0,0,1178,0,0
2021-09-15,370,1,7,0,786,5,8,1,2,59,0,0,0,1206,0,0
2021-09-16,375,1,7,0,789,5,8,1,2,59,0,0,0,1270,0,0
2021-09-17,377,1,7,0,798,5,8,1,2,59,0,0,0,1344,0,0
2021-09-18,379,1,7,0,800,5,8,1,2,64,0,0,0,1344,0,0
2021-09-19,380,1,7,0,802,5,8,1,2,64,0,0,0,1344,0,0
2021-09-20,382,1,7,0,803,5,8,1,2,64,0,0,0,1344,0,0
2021-11-22,520,0,7,5,1050,5,8,6,2,75,0,0,3,3834,0,0
2022-05-03,1265,1,7,0,1904,6,10,13,2,77,0,0,4,3926,0,0
2022-05-07,1282,1,7,2,1926,6,10,15,8,83,0,0,8,3926,0,0
2022-05-08,1284,1,7,2,1928,6,10,15,8,87,0,0,13,3926,0,0
