date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,781,4,0,2119,9645,5,0,2826,24,426,134,0,5,9182,41,0
2021-08-11,781,4,0,2119,9652,5,0,2826,24,426,134,0,5,9208,41,0
2021-08-12,784,4,0,2119,9653,5,0,2828,24,426,134,0,5,9208,41,0
2021-08-13,784,4,0,2119,9656,5,0,2828,24,426,134,0,5,9208,41,0
2021-08-14,784,4,0,2119,9658,5,0,2828,24,426,134,0,5,9234,41,0
2021-08-15,785,4,0,2119,9658,5,0,2828,24,426,134,0,5,9342,41,0
2021-08-16,789,4,0,2119,9659,5,0,2828,24,426,134,0,5,9342,41,0
2021-08-17,790,4,0,2119,9663,5,0,2828,24,426,134,0,5,9422,41,0
2021-08-18,790,4,0,2119,9665,5,0,2828,24,426,134,0,5,9450,41,0
2021-08-19,791,4,0,2119,9666,5,0,2828,24,426,134,0,5,9553,41,0
2021-08-20,793,4,0,2119,9671,5,0,2828,24,426,134,0,6,9605,41,0
2021-08-21,793,4,0,2119,9675,5,0,2828,24,426,134,0,6,9713,41,0
