date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,244,0,13,5,389,3,32,37,1,18,1,3,2,0,1,0
2021-08-11,244,0,13,5,393,3,32,37,1,18,1,3,2,0,1,0
2021-08-12,244,0,13,5,395,3,32,37,1,18,1,3,2,0,1,0
2021-08-13,245,0,13,5,396,3,32,37,1,18,1,3,2,0,1,0
2021-08-14,246,0,13,5,398,3,32,37,1,18,1,3,2,0,1,0
2021-08-15,246,0,13,5,400,3,32,37,1,18,1,3,2,0,1,0
2021-08-16,247,0,13,5,400,3,32,37,1,18,1,3,2,0,1,0
2021-08-17,248,0,13,5,401,3,32,37,1,18,1,3,2,0,1,0
2021-08-18,250,0,13,5,402,3,32,37,1,18,1,3,2,0,1,0
2021-08-19,255,0,13,5,404,3,32,37,1,18,1,3,2,0,1,0
2021-08-20,260,0,13,5,415,3,32,37,1,18,1,3,2,0,1,0
2021-08-21,265,0,13,5,426,3,32,37,1,18,1,3,2,0,1,0
2021-08-22,265,0,13,5,433,3,32,37,1,18,1,3,2,0,1,0
2021-08-23,271,0,13,5,433,3,32,37,1,18,1,3,2,0,1,0
2021-08-24,275,0,13,5,441,3,32,37,1,18,1,3,2,0,1,0
2021-08-25,278,0,13,5,447,3,32,37,1,18,1,3,2,0,1,0
2021-08-26,279,0,13,5,453,3,32,37,1,18,1,3,2,0,1,0
2021-08-27,283,0,13,5,457,3,32,37,1,18,1,3,2,0,1,0
2021-08-28,286,0,13,5,463,3,32,37,1,18,1,3,2,0,1,0
2021-08-29,287,0,13,5,467,3,32,37,1,18,1,3,2,0,1,0
2021-08-30,291,0,13,5,470,3,32,37,1,18,1,3,2,0,1,0
2021-08-31,296,0,13,5,476,3,32,37,1,18,1,3,2,0,1,0
2021-09-01,301,0,13,5,483,3,32,37,1,18,1,3,2,0,1,0
2021-09-02,305,0,14,5,489,3,32,37,1,18,1,3,2,0,1,0
2021-09-03,309,0,14,5,496,3,33,37,1,18,1,3,2,0,1,0
2021-09-04,312,0,14,5,504,3,33,37,1,18,1,3,2,0,1,0
2021-09-05,312,0,14,5,512,3,33,37,1,18,1,3,2,0,1,0
2021-09-06,315,0,14,5,512,3,33,37,1,18,1,3,2,0,1,0
2021-09-07,319,0,14,5,515,3,33,37,1,18,1,3,2,0,1,0
2021-09-08,325,0,14,5,521,3,33,37,1,18,1,3,2,0,1,0
2021-09-09,331,0,14,5,530,3,33,37,1,18,1,3,2,0,1,0
2021-09-10,335,0,14,5,543,3,33,37,1,18,1,3,2,0,1,0
2021-09-11,338,0,14,5,549,3,33,37,1,18,1,3,2,0,1,0
2021-09-12,338,0,14,5,553,3,33,37,1,18,1,3,2,0,1,0
2021-09-13,353,0,14,5,553,3,33,37,1,18,1,3,2,0,1,0
2021-09-14,355,0,14,5,576,3,33,37,1,18,1,3,2,0,1,0
