date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,61,0,0,37,86,3,0,36,1,31,0,0,106,145,0,0
2021-08-11,61,0,0,37,86,3,0,36,1,31,0,0,106,145,0,0
2021-08-12,61,0,0,37,87,3,0,36,1,31,0,0,106,145,0,0
2021-08-13,61,0,0,37,87,3,0,36,1,31,0,0,106,145,0,0
2021-08-14,61,0,0,37,87,3,0,36,1,31,0,0,106,145,0,0
2021-08-15,61,0,0,37,87,3,0,36,1,31,0,0,106,145,0,0
2021-08-16,61,0,0,37,87,3,0,36,1,31,0,0,106,145,0,0
2021-08-17,61,0,0,37,87,3,0,36,1,31,0,0,106,145,0,0
2021-08-18,61,0,0,37,87,3,0,36,1,31,0,0,106,145,0,0
2021-08-19,61,0,0,37,87,3,0,36,1,31,0,0,106,145,0,0
2021-08-20,61,0,0,37,88,3,0,36,1,31,0,0,106,145,0,0
2021-08-21,61,0,0,37,88,3,0,36,1,31,0,0,106,145,0,0
2021-08-22,61,0,0,37,88,3,0,36,1,31,0,0,106,145,0,0
2021-08-23,61,0,0,37,88,3,0,36,1,31,0,0,106,145,0,0
2021-08-24,61,0,0,37,88,3,0,36,1,31,0,0,106,145,0,0
2021-08-25,61,0,0,37,88,3,0,36,1,31,0,0,106,145,0,0
2021-08-26,61,0,0,37,88,3,0,36,1,31,0,0,106,145,0,0
2021-08-27,61,0,0,37,88,3,0,36,1,31,0,0,106,145,0,0
2021-08-28,61,0,0,37,88,3,0,36,1,31,0,0,106,145,0,0
2021-08-29,61,0,0,37,88,3,0,36,1,31,0,0,106,145,0,0
2021-08-30,61,0,0,37,89,3,0,36,1,31,0,0,106,145,0,0
2021-08-31,61,0,0,37,89,3,0,36,1,31,0,0,106,145,0,0
2021-09-01,61,0,0,37,89,3,0,36,1,31,0,0,106,145,0,0
2021-09-02,61,0,0,37,89,3,0,36,1,31,0,0,106,145,0,0
2021-09-03,61,0,0,37,89,3,0,36,1,31,0,0,106,145,0,0
2021-09-04,61,0,0,37,89,3,0,36,1,31,0,0,106,145,0,0
2021-09-05,61,0,0,37,89,3,0,36,1,31,0,0,106,145,0,0
2021-09-06,61,0,0,37,89,3,0,36,1,31,0,0,106,145,0,0
2021-09-07,61,0,0,37,89,3,0,36,1,31,0,0,106,145,0,0
2021-09-08,61,0,0,37,89,3,0,36,1,31,0,0,106,145,0,0
2021-09-09,61,0,0,37,89,3,0,36,1,31,0,0,106,145,0,0
2021-09-10,61,0,0,37,89,3,0,36,1,31,0,0,106,145,0,0
2021-09-11,61,0,0,37,89,3,0,36,1,31,0,0,106,145,0,0
2021-09-12,61,0,0,37,89,3,0,36,1,31,0,0,106,145,0,0
2021-09-13,61,0,0,37,89,3,0,36,1,31,0,0,106,145,0,0
2021-09-14,61,0,0,37,89,3,0,36,1,31,0,0,106,145,0,0
2021-09-15,61,0,0,37,90,3,0,36,1,31,0,0,106,145,0,0
2021-09-16,61,0,0,37,90,3,0,36,1,31,0,0,106,145,0,0
2021-09-17,61,0,0,37,91,3,0,36,1,31,0,0,106,145,0,0
2021-09-18,61,0,0,37,91,3,0,36,1,31,0,0,106,145,0,0
2021-09-19,61,0,0,37,91,3,0,36,1,31,0,0,106,145,0,0
2021-09-20,61,0,0,37,91,3,0,36,1,31,0,0,106,145,0,0
2021-11-22,101,0,0,37,156,3,0,36,1,31,0,0,106,145,0,0
2022-05-03,161,0,0,39,282,3,0,38,1,31,0,0,106,145,0,0
2022-05-07,161,0,0,39,283,3,0,38,1,31,0,0,106,145,0,0
2022-05-08,161,0,0,39,283,3,0,38,1,31,0,0,106,145,0,0
2022-05-09,161,0,0,39,283,3,0,38,1,31,0,0,106,145,0,0
2022-05-10,162,0,0,39,283,3,0,38,1,31,0,0,106,145,0,0
2022-05-11,162,0,0,39,284,3,0,38,1,31,0,0,106,145,0,0
2022-05-12,162,0,0,39,284,3,0,38,1,31,0,0,106,145,0,0
2022-05-13,162,0,0,39,284,3,0,38,1,31,0,0,106,145,0,0
2022-05-14,162,0,0,39,286,3,0,38,1,31,0,0,106,145,0,0
2022-05-15,163,0,0,39,286,3,0,38,1,31,0,0,106,145,0,0
2022-05-16,164,0,0,40,287,3,0,38,1,31,0,0,106,145,0,0
2022-05-17,164,0,0,40,288,3,0,39,1,31,0,0,106,145,0,0
2022-05-18,164,0,0,40,288,3,0,39,1,31,0,0,106,145,0,0
2022-05-19,164,0,0,40,288,3,0,39,1,31,0,0,106,145,0,0
2022-05-20,164,0,0,40,288,3,0,39,1,31,0,0,106,145,0,0
2022-05-21,164,0,0,40,288,3,0,39,1,31,0,0,106,145,0,0
2022-05-22,164,0,0,40,288,3,0,39,1,31,0,0,106,145,0,0
2022-05-23,164,0,0,40,288,3,0,39,1,31,0,0,106,145,0,0
2022-05-24,164,0,0,40,288,3,0,39,1,31,0,0,106,145,0,0
2022-05-25,164,0,0,40,289,3,0,39,1,31,0,0,106,145,0,0
2022-05-26,165,0,0,40,290,3,0,39,1,31,0,0,106,145,0,0
2022-05-27,166,0,0,40,291,3,0,39,1,31,0,0,106,145,0,0
2022-05-28,166,0,0,40,292,3,0,39,1,31,0,0,106,145,0,0
2022-05-29,167,0,0,40,292,3,0,39,1,31,0,0,106,145,0,0
2022-05-30,167,0,0,40,293,3,0,39,1,31,0,0,106,145,0,0
2022-05-31,167,0,0,40,293,3,0,39,1,31,0,0,106,145,0,0
2022-06-01,167,0,0,40,293,3,0,39,1,31,0,0,106,145,0,0
2022-06-02,167,0,0,40,293,3,0,39,1,31,0,0,106,145,0,0
2022-06-03,167,0,0,40,293,3,0,39,1,31,0,0,106,145,0,0
2022-06-04,167,0,0,40,293,3,0,39,1,31,0,0,106,145,0,0
2022-06-05,167,0,0,40,293,3,0,39,1,31,0,0,106,145,0,0
2022-06-06,167,0,0,40,293,3,0,39,1,31,0,0,106,145,0,0
2022-06-07,167,0,0,40,293,3,0,39,1,31,0,0,106,145,0,0
2022-06-08,167,0,0,40,294,3,0,39,1,31,0,0,106,145,0,0
2022-06-09,167,0,0,40,296,3,0,39,1,31,0,0,106,145,0,0
2022-06-10,167,0,0,40,296,3,0,39,1,31,0,0,106,145,0,0
2022-06-11,167,0,0,40,296,3,0,39,1,31,0,0,106,145,0,0
2022-06-12,167,0,0,40,296,3,0,39,1,31,0,0,106,145,0,0
2022-06-13,169,0,0,40,296,3,0,39,1,31,0,0,106,145,0,0
2022-06-14,170,0,0,40,298,3,0,39,1,31,0,0,106,145,0,0
2022-06-15,170,0,0,40,302,3,0,39,1,31,0,0,106,145,0,0
2022-06-16,170,0,0,40,306,3,0,39,1,31,0,0,106,145,0,0
2022-06-17,170,0,0,40,309,3,0,39,1,31,0,0,106,145,0,0
2022-06-18,170,0,0,40,310,3,0,39,1,31,0,0,106,145,0,0
2022-06-19,170,0,0,40,311,3,0,39,1,31,0,0,106,145,0,0
2022-06-20,171,0,0,40,311,3,0,39,1,31,0,0,106,145,0,0
2022-06-21,171,0,0,40,313,3,0,39,1,31,0,0,106,145,0,0
2022-06-22,171,0,0,40,313,3,0,39,1,31,0,0,106,145,0,0
2022-06-23,171,0,0,40,313,3,0,39,1,31,0,0,106,145,0,0
2022-06-24,171,0,0,40,313,3,0,39,1,31,0,0,106,145,0,0
2022-06-25,171,0,0,40,313,3,0,39,1,31,0,0,106,145,0,0
2022-06-26,171,0,0,40,313,3,0,39,1,31,0,0,106,145,0,0
2022-06-27,171,0,0,40,313,3,0,39,1,31,0,0,106,145,0,0
2022-06-28,171,0,0,40,313,3,0,39,1,31,0,0,106,145,0,0
2022-06-29,171,0,0,40,313,3,0,39,1,31,0,0,106,145,0,0
2022-06-30,171,0,0,40,313,3,0,39,1,31,0,0,106,145,0,0
2022-07-01,171,0,0,40,314,3,0,39,1,31,0,0,106,145,0,0
2022-07-02,171,0,0,40,314,3,0,39,1,31,0,0,106,145,0,0
2022-07-03,171,0,0,40,314,3,0,39,1,31,0,0,106,145,0,0
2022-07-04,172,0,0,40,314,3,0,39,1,31,0,0,106,145,0,0
2022-07-05,173,0,0,40,315,3,0,39,1,31,0,0,106,145,0,0
2022-07-06,174,0,0,40,317,3,0,39,1,31,0,0,106,145,0,0
2022-07-07,174,0,0,40,318,3,0,39,1,31,0,0,106,145,0,0
2022-07-08,174,0,0,40,318,3,0,39,1,31,0,0,106,145,0,0
2022-07-09,174,0,0,40,319,3,0,39,1,31,0,0,106,145,0,0
2022-07-10,175,0,0,40,319,3,0,39,1,31,0,0,106,145,0,0
2022-07-11,176,0,0,40,320,3,0,39,1,31,0,0,106,145,0,0
2022-07-12,176,0,0,40,322,3,0,39,1,31,0,0,106,145,0,0
2022-07-13,177,0,0,40,322,3,0,39,1,31,0,0,106,145,0,0
2022-07-14,177,0,0,40,323,3,0,39,1,31,0,0,106,145,0,0
2022-07-15,177,0,0,40,325,3,0,39,1,31,0,0,106,145,0,0
2022-07-16,178,0,0,40,325,3,0,39,1,31,0,0,106,145,0,0
2022-07-17,178,0,0,40,326,3,0,39,1,31,0,0,106,145,0,0
2022-07-18,179,0,0,40,326,3,0,39,1,31,0,0,106,145,0,0
2022-07-19,181,0,0,40,327,3,0,39,1,31,0,0,106,145,0,0
2022-07-20,182,0,0,40,330,3,0,39,1,31,0,0,106,145,0,0
2022-07-21,182,0,0,40,332,3,0,39,1,31,0,0,106,145,0,0
2022-07-22,183,0,0,40,332,3,0,39,1,31,0,0,106,145,0,0
2022-07-23,185,0,0,40,333,3,0,39,1,31,0,0,106,145,0,0
2022-07-24,185,0,0,40,335,3,0,39,1,31,0,0,106,145,0,0
2022-07-25,185,0,0,40,335,3,0,39,1,31,0,0,106,145,0,0
2022-07-26,185,0,0,40,335,3,0,39,1,31,0,0,106,145,0,0
2022-07-27,186,0,0,40,335,3,0,39,1,31,0,0,106,145,0,0
2022-07-28,186,0,0,40,337,3,0,39,1,31,0,0,106,145,0,0
2022-07-29,187,0,0,40,337,3,0,39,1,31,0,0,106,145,0,0
2022-07-30,187,0,0,40,338,3,0,39,1,31,0,0,106,145,0,0
2022-07-31,187,0,0,40,338,3,0,39,1,31,0,0,106,145,0,0
2022-08-01,187,0,0,40,338,3,0,39,1,31,0,0,106,145,0,0
2022-08-02,188,0,0,40,339,3,0,39,1,31,0,0,106,145,0,0
2022-08-03,188,0,0,40,341,3,0,39,1,31,0,0,106,145,0,0
2022-08-04,189,0,0,40,341,3,0,39,1,31,0,0,106,145,0,0
2022-08-05,189,0,0,40,343,3,0,39,1,31,0,0,106,145,0,0
2022-08-06,190,0,0,40,344,3,0,39,1,31,0,0,106,145,0,0
2022-08-07,190,0,0,40,345,3,0,39,1,31,0,0,106,145,0,0
2022-08-08,190,0,0,40,345,3,0,39,1,31,0,0,106,145,0,0
2022-08-09,191,0,0,40,345,3,0,39,1,31,0,0,106,145,0,0
2022-08-10,192,0,0,40,346,3,0,39,1,31,0,0,106,145,0,0
2022-08-11,192,0,0,40,347,3,0,39,1,31,0,0,106,145,0,0
2022-08-13,192,0,0,40,347,3,0,39,1,31,0,0,106,145,0,0
2022-08-14,192,0,0,40,349,3,0,39,1,31,0,0,106,145,0,0
2022-08-15,192,0,0,40,349,3,0,39,1,31,0,0,106,145,0,0
2022-08-16,192,0,0,40,349,3,0,39,1,31,0,0,106,145,0,0
2022-08-17,192,0,0,40,349,3,0,39,1,31,0,0,106,145,0,0
2022-08-18,192,0,0,40,350,3,0,39,1,31,0,0,106,145,0,0
2022-08-19,192,0,0,40,350,3,0,39,1,31,0,0,106,145,0,0
2022-08-20,192,0,0,40,350,3,0,39,1,31,0,0,106,145,0,0
2022-08-21,192,0,0,40,350,3,0,39,1,31,0,0,106,145,0,0
2022-08-22,192,0,0,40,350,3,0,39,1,31,0,0,106,145,0,0
2022-08-23,192,0,0,40,350,3,0,39,1,31,0,0,106,145,0,0
2022-08-24,192,0,0,40,350,3,0,39,1,31,0,0,106,145,0,0
2022-08-25,193,0,0,40,350,3,0,39,1,31,0,0,106,145,0,0
2022-08-26,193,0,0,40,351,3,0,39,1,31,0,0,106,145,0,0
2022-08-27,196,0,0,40,351,3,0,39,1,31,0,0,106,145,0,0
2022-08-28,196,0,0,40,354,3,0,39,1,31,0,0,106,145,0,0
2022-08-29,196,0,0,40,354,3,0,39,1,31,0,0,106,145,0,0
2022-08-30,196,0,0,40,354,3,0,39,1,31,0,0,106,145,0,0
2022-08-31,197,0,0,40,354,3,0,39,1,31,0,0,106,145,0,0
2022-09-01,197,0,0,40,355,3,0,39,1,31,0,0,106,145,0,0
2022-09-02,197,0,0,40,355,3,0,39,1,31,0,0,106,145,0,0
2022-09-03,197,0,0,40,357,3,0,39,1,31,0,0,106,145,0,0
2022-09-04,197,0,0,40,357,3,0,39,1,31,0,0,106,145,0,0
2022-09-05,199,0,0,40,359,3,0,39,1,31,0,0,106,145,0,0
2022-09-06,200,0,0,40,366,3,0,39,1,31,0,0,106,145,0,0
2022-09-07,200,0,0,40,367,3,0,39,1,31,0,0,106,145,0,0
2022-09-08,200,0,0,40,367,3,0,39,1,31,0,0,106,145,0,0
2022-09-09,201,0,0,40,368,3,0,39,1,31,0,0,106,145,0,0
2022-09-10,201,0,0,40,369,3,0,39,1,31,0,0,106,145,0,0
2022-09-11,201,0,0,40,369,3,0,39,1,31,0,0,106,145,0,0
2022-09-12,202,0,0,40,370,3,0,39,1,31,0,0,106,145,0,0
2022-09-13,203,0,0,40,372,3,0,39,1,31,0,0,106,145,0,0
2022-09-14,204,0,0,40,376,3,0,39,1,31,0,0,106,145,0,0
2022-09-15,206,0,0,40,379,3,0,39,1,31,0,0,106,145,0,0
2022-09-16,207,0,0,40,381,3,0,39,1,31,0,0,106,145,0,0
2022-09-17,207,0,0,40,384,3,0,39,1,31,0,0,106,145,0,0
2022-09-18,207,0,0,40,387,3,0,39,1,31,0,0,106,145,0,0
2022-09-20,213,0,0,40,392,3,0,39,1,31,0,0,106,145,0,0
2022-09-22,215,0,0,40,399,3,0,39,1,31,0,0,106,145,0,0
2022-09-23,216,0,0,40,401,3,0,39,1,31,0,0,106,145,0,0
2022-09-24,216,0,0,40,402,3,0,39,1,31,0,0,106,145,0,0
2022-09-25,216,0,0,40,402,3,0,39,1,31,0,0,106,145,0,0
2022-09-26,216,0,0,40,402,3,0,39,1,31,0,0,106,145,0,0
2022-09-27,216,0,0,40,402,3,0,39,1,31,0,0,106,145,0,0
2022-09-28,218,0,0,40,403,3,0,39,1,31,0,0,106,145,0,0
2022-09-29,218,0,0,40,406,3,0,39,1,31,0,0,106,145,0,0
2022-09-30,218,0,0,40,408,3,0,39,1,31,0,0,106,145,0,0
2022-10-01,218,0,0,40,408,3,0,39,1,31,0,0,106,145,0,0
2022-10-02,219,0,0,40,408,3,0,39,1,31,0,0,106,145,0,0
2022-10-03,219,0,0,40,409,3,0,39,1,31,0,0,106,145,0,0
2022-10-04,219,0,0,40,419,3,0,39,1,31,0,0,106,145,0,0
2022-10-05,219,0,0,40,420,3,0,39,1,31,0,0,106,145,0,0
