date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,155,0,1,0,210,1,14,27,0,25,0,0,0,890,0,0
2023-02-12,155,0,1,0,210,1,14,27,0,25,0,0,0,890,0,0
2023-02-13,156,0,1,0,210,1,14,27,0,25,0,0,0,890,0,0
2023-02-14,156,0,1,0,211,1,14,27,0,25,0,0,0,890,0,0
2023-02-15,157,0,1,0,211,1,14,27,0,25,0,0,0,890,0,0
2023-02-16,157,0,1,0,212,1,14,27,0,25,0,0,0,890,0,0
2023-02-17,157,0,1,0,213,1,14,27,0,25,0,0,0,890,0,0
2023-02-18,157,0,1,0,213,1,14,27,0,25,0,0,0,890,0,0
2023-02-19,158,0,1,0,213,1,14,27,0,25,0,0,0,890,0,0
2023-02-20,158,0,1,0,214,1,14,27,0,25,0,0,0,890,0,0
2023-02-21,158,0,1,0,214,1,14,27,0,25,0,0,0,890,0,0
2023-02-22,160,0,1,0,216,1,14,27,0,25,0,0,0,890,0,0
2023-02-23,160,0,1,0,216,1,14,27,0,25,0,0,0,890,0,0
2023-02-24,161,0,1,0,217,1,14,27,0,25,0,0,0,890,0,0
2023-02-25,161,0,1,0,217,1,14,27,0,25,0,0,0,890,0,0
2023-02-26,161,0,1,0,217,1,14,27,0,25,0,0,0,890,0,0
2023-02-27,161,0,1,0,217,1,14,27,0,25,0,0,0,890,0,0
