date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,1479,0,0,374,2030,1,0,374,0,30,4,0,49,0,0,0
2023-02-12,1479,0,0,374,2030,1,0,374,0,30,4,0,49,0,0,0
2023-02-13,1480,0,0,375,2031,1,0,375,0,30,4,0,49,0,0,0
2023-02-14,1485,0,0,376,2037,1,0,376,0,30,4,0,49,0,0,0
2023-02-15,1488,0,0,394,2040,1,0,394,0,30,4,0,49,0,0,0
2023-02-16,1494,0,0,409,2045,1,0,409,0,30,4,0,49,0,0,0
2023-02-17,1496,0,0,410,2048,1,0,410,0,30,4,0,49,0,0,0
2023-02-18,1499,0,0,410,2051,1,0,410,0,30,4,0,49,0,0,0
2023-02-19,1500,0,0,410,2052,1,0,410,0,30,4,0,49,0,0,0
2023-02-20,1502,0,0,411,2055,1,0,411,0,30,4,0,49,0,0,0
2023-02-21,1509,0,0,413,2061,1,0,413,0,30,4,0,49,0,0,0
2023-02-22,1516,0,0,418,2067,1,0,414,0,30,4,0,49,0,0,0
2023-02-23,1522,0,0,421,2074,1,0,420,0,30,4,0,49,0,0,0
2023-02-24,1524,0,0,421,2077,1,0,421,0,30,4,0,49,0,0,0
2023-02-25,1530,0,0,424,2083,1,0,424,0,30,4,0,49,0,0,0
