date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,319,2,9,0,362,4,9,0,10,7,0,0,0,3411,0,0
2023-02-12,319,2,9,0,362,4,9,0,10,7,0,0,0,3411,0,0
2023-02-13,319,2,9,0,362,4,9,0,10,7,0,0,0,3411,0,0
2023-02-14,320,2,9,0,363,4,9,0,10,7,0,0,0,3411,0,0
2023-02-16,321,2,9,0,364,4,9,0,10,7,0,0,0,3411,0,0
2023-02-17,321,2,9,0,364,4,9,0,10,7,0,0,0,3411,0,0
2023-02-18,321,2,9,0,364,4,9,0,10,7,0,0,0,3411,0,0
2023-02-19,321,2,9,0,364,4,9,0,10,7,0,0,0,3411,0,0
2023-02-20,321,2,9,0,364,4,9,0,10,7,0,0,0,3411,0,0
2023-02-21,321,2,9,0,364,4,9,0,10,7,0,0,0,3411,0,0
2023-02-22,321,2,9,0,364,4,9,1,10,8,0,0,0,3411,0,0
2023-02-23,321,2,9,0,364,4,9,1,10,8,0,0,0,3411,0,0
2023-02-24,321,2,9,0,364,4,9,1,10,8,0,0,0,3411,0,0
2023-02-25,321,2,9,0,364,4,9,1,10,8,0,0,0,3411,0,0
2023-02-26,321,2,9,0,364,4,9,1,10,8,0,0,0,3411,0,0
2023-02-27,321,2,9,0,364,4,9,1,10,8,0,0,0,3411,0,0
2023-02-28,321,2,9,0,364,4,9,1,12,8,0,0,0,3411,0,0
2023-03-01,322,2,9,0,365,4,9,1,12,8,0,0,0,3411,0,0
2023-03-02,323,2,9,0,367,4,9,1,12,9,0,0,0,3411,0,0
2023-03-03,325,2,9,0,367,4,9,1,12,22,0,0,0,3411,0,0
2023-03-04,325,2,9,0,367,4,9,1,12,22,0,0,0,3411,0,0
2023-03-05,325,2,9,0,368,4,9,1,12,22,0,0,0,3411,0,0
2023-03-06,325,2,9,0,368,4,9,1,13,22,0,0,0,3411,0,0
2023-03-07,325,2,9,0,368,4,9,1,13,22,0,0,0,3411,0,0
2023-03-08,326,2,9,0,369,4,9,1,13,22,0,0,0,3411,0,0
2023-03-09,326,2,9,0,369,4,9,1,13,22,0,0,0,3411,0,0
2023-03-10,326,2,9,0,369,4,9,1,13,22,0,0,0,3411,0,0
2023-03-11,327,2,9,0,370,4,9,1,13,23,0,0,0,3411,0,0
2023-03-12,327,2,9,0,370,4,9,1,13,23,0,0,0,3411,0,0
2023-03-13,327,2,9,0,370,4,9,1,13,23,0,0,0,3411,0,0
2023-03-14,328,2,9,0,371,4,9,1,13,24,0,0,0,3411,0,0
2023-03-15,329,2,9,0,372,4,9,1,13,24,0,0,0,3411,0,0
2023-03-16,329,2,9,0,372,4,9,1,15,24,0,0,0,3411,0,0
2023-03-17,330,2,10,0,373,4,10,1,15,24,0,0,0,3411,0,0
2023-03-18,330,2,10,0,373,4,10,1,15,24,0,0,0,3411,0,0
2023-03-19,330,2,10,0,373,4,10,1,15,24,0,0,0,3411,0,0
2023-03-20,330,2,10,0,373,4,10,1,15,24,0,0,0,3411,0,0
2023-03-21,330,2,10,0,373,4,10,1,15,24,0,0,0,3411,0,0
2023-03-22,330,2,10,0,373,4,10,1,15,24,0,0,0,3411,0,0
2023-03-23,330,2,10,0,373,4,10,1,15,24,0,0,0,3411,0,0
2023-03-24,331,2,10,0,374,4,10,1,15,24,0,0,0,3411,0,0
2023-03-25,331,2,10,0,374,4,10,1,15,24,0,0,0,3411,0,0
2023-03-26,331,2,10,0,374,4,10,1,15,24,0,0,0,3411,0,0
2023-03-27,353,3,10,0,397,5,10,1,15,24,0,0,0,3439,0,0
2023-03-28,372,3,10,0,419,5,10,1,15,24,0,0,0,3465,0,0
2023-03-29,389,3,10,0,438,5,10,1,15,26,0,0,0,3483,0,0
2023-03-30,395,3,10,0,445,5,10,1,15,27,0,0,0,3493,0,0
2023-03-31,399,4,10,0,450,6,10,1,22,27,0,0,0,3498,0,0
2023-04-01,400,4,10,0,451,6,10,1,22,27,0,0,0,3501,0,0
2023-04-02,400,4,10,0,452,6,10,1,22,27,0,0,0,3502,0,0
2023-04-03,410,4,10,0,462,6,10,1,22,26,0,0,0,3508,0,0
2023-04-04,412,4,10,0,464,6,10,1,22,26,0,0,0,3510,0,0
2023-04-05,413,5,10,0,466,7,10,1,25,26,0,0,0,3512,0,0
2023-04-06,416,5,10,0,469,7,10,1,25,26,0,0,0,3515,0,0
2023-04-07,417,5,10,0,470,7,10,1,25,26,0,0,0,3515,0,0
2023-04-08,417,5,10,0,470,7,10,1,25,26,0,0,0,3515,0,0
2023-04-09,418,5,10,0,471,7,10,1,25,26,0,0,0,3516,0,0
2023-04-10,419,5,10,0,472,7,10,1,25,26,0,0,0,3518,0,0
2023-04-11,421,5,10,0,476,7,10,1,26,26,0,0,0,3522,0,0
2023-04-12,421,5,10,0,476,7,10,1,26,26,0,0,0,3523,0,0
2023-04-13,424,5,10,0,479,7,10,1,26,26,0,0,0,3525,0,0
2023-04-14,427,5,10,0,483,7,10,1,26,26,0,0,0,3530,0,0
2023-04-15,428,5,10,0,485,7,10,1,26,26,0,0,0,3531,0,0
2023-04-16,429,4,10,0,485,7,10,1,26,26,0,0,0,3531,0,0
2023-04-17,429,4,10,0,486,7,10,1,26,26,0,0,0,3531,0,0
2023-04-18,430,4,10,0,486,7,10,1,26,26,0,0,0,3531,0,0
2023-04-19,430,4,10,0,487,7,10,1,26,26,0,0,0,3531,0,0
2023-04-20,432,4,10,0,488,7,10,1,26,26,0,0,0,3531,0,0
2023-04-21,434,4,10,0,491,7,10,1,26,26,0,0,0,3531,0,0
2023-04-22,434,4,10,0,491,7,10,1,26,26,0,0,0,3531,0,0
2023-04-23,436,4,10,0,493,7,10,1,26,26,0,0,0,3531,0,0
2023-04-24,436,4,10,0,493,7,10,1,26,26,0,0,0,3531,0,0
2023-04-25,438,4,10,0,495,7,10,1,26,26,0,0,0,3531,0,0
2023-04-26,439,4,10,0,496,7,10,1,26,26,0,0,0,3531,0,0
2023-04-27,439,4,10,0,496,7,10,1,26,26,0,0,0,3531,0,0
2023-04-28,441,4,10,0,498,7,10,1,26,26,0,0,0,3531,0,0
2023-04-29,441,4,10,0,498,7,10,1,26,26,0,0,0,3531,0,0
2023-04-30,441,4,10,0,498,7,10,1,26,26,0,0,0,3531,0,0
2023-05-01,441,4,10,0,498,7,10,1,26,26,0,0,0,3531,0,0
2023-05-02,441,4,10,0,498,7,10,1,26,26,0,0,0,3531,0,0
2023-05-03,441,4,10,0,498,7,10,1,26,26,0,0,0,3531,0,0
2023-05-04,443,4,10,0,498,7,10,1,26,26,0,0,0,3531,0,0
