date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,1567,3,0,29,3174,4,1,29,0,56,27,0,134,0,11,0
2023-02-12,1567,3,0,29,3177,4,1,29,0,56,27,0,134,0,11,0
2023-02-13,1572,3,0,29,3182,4,1,29,0,56,27,0,134,0,11,0
2023-02-14,1576,3,0,29,3186,4,1,29,0,56,27,0,134,0,11,0
2023-02-15,1580,3,0,29,3189,4,1,29,0,56,27,0,134,0,11,0
2023-02-16,1586,3,0,29,3196,4,1,29,0,57,27,0,134,0,11,0
2023-02-17,1590,3,0,29,3200,4,1,29,0,57,27,0,134,0,11,0
2023-02-18,1591,3,0,29,3201,4,1,29,0,58,27,0,134,0,11,0
2023-02-19,1591,3,0,29,3201,4,1,29,0,58,27,0,134,0,11,0
2023-02-20,1606,3,0,29,3217,4,1,29,0,60,27,0,134,0,11,0
2023-02-21,1611,3,0,29,3221,4,1,29,0,60,27,0,134,0,11,0
2023-02-22,1620,3,0,29,3229,4,1,29,0,60,27,0,134,0,11,0
2023-02-23,1632,3,0,29,3242,4,1,29,0,60,27,0,134,0,11,0
2023-02-24,1640,3,0,29,3251,4,1,29,0,61,27,0,135,0,11,0
2023-02-25,1642,3,0,30,3254,4,1,30,0,61,27,0,135,0,11,0
2023-02-26,1643,3,0,30,3254,4,1,30,0,61,27,0,135,0,11,0
2023-02-27,1654,3,0,30,3267,4,1,30,0,61,27,0,135,0,11,0
2023-02-28,1659,3,0,30,3271,4,1,30,0,62,27,0,139,0,11,0
2023-03-01,1672,3,0,30,3283,4,1,30,0,62,27,0,139,0,11,0
2023-03-02,1674,3,0,30,3287,4,1,30,0,62,27,0,139,0,11,0
2023-03-03,1676,3,0,30,3289,4,1,30,0,62,27,0,139,0,11,0
2023-03-04,1680,3,0,30,3293,4,1,30,0,62,27,0,139,0,11,0
2023-03-05,1681,3,0,30,3295,4,1,30,0,63,27,0,139,0,11,0
2023-03-06,1688,3,0,30,3303,4,1,30,0,63,27,0,141,0,11,0
2023-03-07,1694,3,0,31,3308,4,1,31,0,63,27,0,141,0,11,0
2023-03-08,1699,3,0,31,3315,4,1,31,0,64,27,0,144,0,11,0
2023-03-09,1704,3,0,31,3321,4,1,31,0,65,27,0,144,0,11,0
2023-03-10,1716,3,0,32,3334,4,1,32,0,66,27,0,146,0,11,0
2023-03-11,1719,3,0,32,3338,4,1,32,0,66,27,0,146,0,11,0
2023-03-12,1724,3,0,32,3345,4,1,32,0,67,27,0,146,0,11,0
2023-03-13,1736,3,0,32,3357,4,1,32,0,68,27,0,148,0,11,0
2023-03-14,1741,3,0,32,3362,4,1,32,0,69,27,0,148,0,11,0
2023-03-15,1753,3,0,32,3378,4,1,32,0,69,27,0,148,0,11,0
2023-03-16,1760,3,0,32,3387,4,1,32,0,71,27,0,148,0,11,0
2023-03-17,1767,3,0,32,3393,4,1,32,0,71,27,0,148,0,11,0
2023-03-18,1768,3,0,32,3396,4,1,32,0,71,27,0,148,0,11,0
2023-03-19,1773,3,0,32,3400,4,1,32,0,72,27,0,149,0,11,0
2023-03-20,1775,3,0,32,3403,4,1,32,0,72,27,0,151,0,11,0
2023-03-21,1781,3,0,32,3409,4,1,32,0,73,27,0,151,0,11,0
2023-03-22,1787,3,0,32,3415,4,1,32,0,73,27,0,155,0,11,0
2023-03-23,1799,3,0,32,3425,4,1,32,0,74,27,0,158,0,11,0
2023-03-24,1801,3,0,32,3427,4,1,32,0,74,27,0,160,0,11,0
