date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,113,3,6,12,150,16,6,12,31,7,0,0,1,212,0,0
2023-02-12,113,3,6,12,150,16,6,12,31,7,0,0,1,212,0,0
2023-02-13,115,3,6,12,152,16,6,12,31,7,0,0,1,212,0,0
2023-02-14,116,3,6,12,152,16,6,12,31,7,0,0,1,212,0,0
2023-02-15,117,3,6,12,154,16,6,12,31,7,0,0,1,212,0,0
2023-02-16,117,3,6,12,154,16,6,12,35,7,0,0,1,212,0,0
2023-02-17,117,3,6,12,154,16,6,12,35,7,0,0,1,212,0,0
2023-02-18,117,3,6,12,154,16,6,12,35,7,0,0,1,212,0,0
2023-02-19,117,3,6,12,154,16,6,12,35,7,0,0,1,212,0,0
2023-02-20,117,3,6,12,154,16,6,12,35,7,0,0,1,212,0,0
2023-02-21,118,3,6,12,154,16,6,12,35,7,0,0,1,212,0,0
2023-02-22,118,3,6,12,155,16,6,12,35,7,0,0,1,212,0,0
2023-02-23,118,3,6,12,155,16,6,12,35,7,0,0,1,212,0,0
2023-02-24,118,3,6,12,156,16,6,12,35,7,0,0,1,212,0,0
2023-02-25,118,3,6,12,156,16,6,12,35,7,0,0,1,212,0,0
2023-02-26,118,3,6,12,156,16,6,12,35,7,0,0,1,212,0,0
2023-02-27,119,3,6,12,157,16,6,12,35,7,0,0,1,212,0,0
2023-02-28,120,3,6,12,158,16,6,12,35,7,0,0,1,212,0,0
2023-03-01,122,3,6,12,159,16,6,12,35,7,0,0,1,212,0,0
2023-03-02,122,3,6,12,160,16,6,12,35,7,0,0,1,212,0,0
2023-03-03,122,3,6,12,160,16,6,12,35,7,0,0,1,212,0,0
2023-03-04,122,3,6,12,160,16,6,12,35,7,0,0,1,212,0,0
2023-03-05,122,3,6,12,160,16,6,12,35,7,0,0,1,212,0,0
2023-03-06,122,3,6,12,160,16,6,12,35,7,0,0,1,212,0,0
2023-03-07,122,3,6,12,160,16,6,12,35,7,0,0,1,212,0,0
2023-03-08,122,3,6,12,160,16,6,12,35,7,0,0,1,212,0,0
2023-03-09,122,3,6,12,160,16,6,12,35,7,0,0,1,212,0,0
2023-03-10,123,3,6,12,161,16,6,12,35,7,0,0,1,212,0,0
2023-03-11,123,3,6,12,161,16,6,12,35,7,0,0,1,212,0,0
2023-03-12,124,3,6,12,161,16,6,12,35,7,0,0,1,212,0,0
2023-03-13,124,3,6,12,162,16,6,12,35,7,0,0,1,212,0,0
2023-03-15,125,3,6,12,163,16,6,12,35,7,0,0,1,212,0,0
2023-03-16,126,3,6,12,165,16,6,12,35,7,0,0,1,212,0,0
2023-03-17,127,3,6,12,166,16,6,12,35,7,0,0,1,212,0,0
2023-03-18,127,3,6,12,166,16,6,12,35,7,0,0,1,212,0,0
2023-03-19,127,3,6,12,166,16,6,12,35,7,0,0,1,212,0,0
