date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,289,3,0,43,535,4,1,71,3,85,8,0,195,90,0,0
2021-08-11,290,3,0,44,538,4,1,71,3,86,8,0,195,90,0,0
2021-08-12,290,3,0,44,540,4,1,72,3,87,8,0,200,90,0,0
2021-08-13,291,3,0,44,542,4,1,72,3,87,8,0,200,90,0,0
2021-08-14,291,3,0,44,546,4,1,72,3,87,8,0,200,90,0,0
2021-08-15,292,3,0,44,549,4,1,72,3,87,8,0,200,90,0,0
2021-08-16,295,3,0,44,550,4,1,72,3,87,11,0,200,90,0,0
2021-08-17,301,3,0,44,558,4,1,72,3,87,11,0,200,90,0,0
2021-08-18,301,3,0,44,569,4,1,72,3,89,11,0,200,90,0,0
2021-08-19,304,3,0,44,572,4,1,72,3,89,11,0,200,90,0,0
2021-08-20,306,3,0,44,576,4,1,72,3,90,11,0,200,90,0,0
2021-08-21,307,3,0,44,581,4,1,72,3,90,11,0,201,90,0,0
2021-08-22,308,3,0,44,582,4,1,72,3,90,11,0,201,90,0,0
2021-08-23,317,3,0,44,583,4,1,72,3,90,11,0,201,90,0,0
2021-08-24,318,3,0,44,598,4,1,72,3,90,11,0,201,90,0,0
2021-08-25,321,3,0,44,606,4,1,72,3,91,11,0,201,90,0,0
2021-08-26,326,3,0,44,611,4,1,72,3,91,11,0,201,90,0,0
2021-08-27,329,3,0,44,625,4,1,72,3,91,11,0,201,90,0,0
2021-08-28,333,3,0,44,630,4,1,72,3,91,11,0,201,90,0,0
2021-08-29,334,3,0,44,634,4,1,72,3,91,11,0,201,90,0,0
2021-08-30,338,3,0,44,636,4,1,72,3,91,11,0,201,90,0,0
2021-08-31,340,3,0,44,642,4,1,72,3,91,11,0,201,90,0,0
2021-09-01,342,3,0,44,645,4,1,72,3,91,11,0,201,90,0,0
2021-09-02,344,3,0,44,649,4,1,72,3,91,11,0,201,90,0,0
2021-09-03,345,3,0,44,653,4,1,72,3,91,11,0,201,90,0,0
2021-09-04,345,3,0,44,657,4,1,72,3,91,11,0,201,90,0,0
2021-09-05,346,3,0,44,659,4,1,72,3,91,11,0,201,90,0,0
2021-09-06,353,3,0,44,660,4,1,72,3,91,11,0,201,90,0,0
2021-09-07,353,3,0,44,667,4,1,72,3,91,11,0,201,90,0,0
2021-09-08,355,3,0,45,671,4,1,72,3,91,11,0,201,90,0,0
2021-09-09,357,3,0,46,674,4,1,73,3,90,13,0,201,90,0,0
2021-09-10,358,3,0,46,677,4,1,74,3,90,13,0,201,90,0,0
2021-09-11,359,3,0,46,681,4,1,74,3,90,13,0,202,90,0,0
2021-09-12,360,3,0,46,682,4,1,74,3,90,13,0,202,90,0,0
2021-09-13,363,3,0,46,683,4,1,74,3,90,14,0,202,90,0,0
2021-09-14,366,3,0,46,688,4,1,74,3,90,14,0,202,90,0,0
2021-09-15,369,3,0,46,693,4,1,74,3,90,14,0,202,90,0,0
2021-09-16,372,3,0,46,699,4,1,74,3,91,14,0,202,90,0,0
2021-09-17,377,3,0,47,704,4,1,74,3,91,14,0,203,90,0,0
2021-09-18,381,3,0,47,712,4,1,75,3,92,14,0,203,90,0,0
2021-09-19,381,3,0,47,719,4,1,75,3,92,14,0,203,90,0,0
2021-09-20,381,3,0,47,720,4,1,75,3,92,14,0,203,90,0,0
2021-11-22,1088,4,0,58,1554,6,1,86,17,99,17,0,238,554,0,0
2021-11-24,1137,4,0,58,1596,6,1,86,17,100,17,0,239,554,0,0
2022-05-03,1802,7,0,73,2966,12,1,101,22,119,25,0,315,2724,0,0
2022-05-07,1823,7,0,73,3012,12,1,101,22,119,25,0,320,2729,0,0
2022-05-08,1825,7,0,73,3012,12,1,101,22,119,25,0,320,2729,0,0
2022-05-09,1828,7,0,73,3014,12,1,101,22,119,25,0,320,2729,0,0
2022-05-10,1841,7,0,73,3032,12,1,101,22,119,25,0,320,2729,0,0
2022-05-11,1857,7,0,74,3057,13,1,101,22,119,25,0,320,2729,0,0
2022-05-12,1859,8,0,74,3091,13,1,102,22,118,25,0,322,569,0,0
2022-05-13,1864,8,0,74,3111,13,1,102,22,118,25,0,322,569,0,0
2022-05-14,1867,8,0,74,3127,13,1,102,22,119,25,0,322,569,0,0
2022-05-15,1870,8,0,74,3137,13,1,102,22,119,25,0,322,569,0,0
2022-05-16,1881,9,0,75,3141,13,1,102,22,119,25,0,322,569,0,0
2022-05-17,1895,9,0,75,3163,13,1,103,22,119,25,0,322,595,0,0
2022-05-18,1906,9,0,75,3189,13,1,103,22,120,25,0,323,627,0,0
2022-05-19,1921,9,0,76,3213,13,1,103,22,121,25,0,323,666,0,0
2022-05-20,1932,9,0,76,3233,13,1,104,22,121,25,0,323,675,0,0
2022-05-21,1938,9,0,76,3250,13,1,104,22,121,25,0,323,690,0,0
2022-05-22,1940,9,0,77,3259,13,1,104,22,121,25,0,323,690,0,0
2022-05-23,1959,9,0,77,3261,13,1,105,22,121,25,0,324,690,0,0
2022-05-24,1974,9,0,78,3289,13,1,105,22,122,25,0,328,690,0,0
2022-05-25,1986,9,0,79,3312,13,1,106,22,122,25,0,328,714,0,0
2022-05-26,1996,9,0,80,3330,13,1,107,22,123,25,0,330,723,0,0
