date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,977,5,0,340,2151,8,0,341,4,205,57,120,1,0,21,0
2023-02-12,982,5,0,340,2154,8,0,341,4,205,57,120,1,0,21,0
2023-02-13,982,5,0,339,2163,8,0,340,4,205,57,120,1,0,21,0
2023-02-14,992,5,0,340,2173,8,0,341,4,208,57,120,1,0,21,0
2023-02-15,996,5,0,343,2177,8,0,344,4,208,57,120,1,0,21,0
2023-02-16,1000,5,0,344,2181,8,0,345,4,209,57,120,1,0,21,0
2023-02-17,1001,5,0,344,2182,8,0,345,4,209,57,120,1,0,21,0
2023-02-18,1001,5,0,345,2183,8,0,346,4,209,57,120,1,0,21,0
2023-02-19,1002,5,0,345,2183,8,0,346,4,210,57,120,1,0,21,0
2023-02-20,1003,5,0,345,2184,8,0,346,4,210,57,120,1,0,21,0
2023-02-21,1006,5,0,343,2198,8,0,343,4,219,57,120,1,0,21,0
2023-02-22,1007,5,0,343,2199,8,0,343,4,219,57,120,1,0,21,0
2023-02-23,1008,5,0,343,2200,8,0,343,4,219,57,120,1,0,21,0
2023-02-24,1008,5,0,343,2200,8,0,343,4,220,57,120,1,0,21,0
2023-02-25,1008,5,0,344,2200,8,0,344,4,220,57,120,1,0,21,0
2023-02-26,1010,5,0,344,2200,8,0,344,4,222,57,120,1,0,21,0
2023-02-27,1011,5,0,344,2204,8,0,344,4,222,57,120,1,0,21,0
2023-02-28,1019,5,0,344,2214,8,0,344,4,224,57,120,1,0,21,0
2023-03-01,1031,5,0,345,2226,8,0,345,4,229,57,120,1,0,21,0
2023-03-02,1034,5,0,346,2231,8,0,346,4,233,57,120,1,0,21,0
2023-03-03,1035,5,0,346,2240,8,0,346,4,240,57,120,1,0,21,0
2023-03-04,1038,5,0,346,2243,8,0,346,4,240,57,120,1,0,21,0
2023-03-05,1038,5,0,346,2243,8,0,346,4,240,57,120,1,0,21,0
2023-03-06,1042,5,0,347,2250,8,0,347,4,243,57,120,1,0,21,0
2023-03-07,1043,5,0,347,2252,8,0,347,4,244,57,120,1,0,21,0
2023-03-08,1043,5,0,347,2252,8,0,347,4,244,57,120,1,0,21,0
2023-03-09,1044,5,0,347,2253,8,0,347,4,244,57,120,1,0,21,0
2023-03-10,1045,5,0,347,2254,8,0,347,4,244,57,120,1,0,21,0
2023-03-11,1044,5,0,347,2255,8,0,347,4,244,57,120,1,0,21,0
