date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,1829,3,16,697,7095,11,16,724,40,280,70,0,2974,9948,9,0
2023-02-12,1830,3,16,697,7096,11,16,724,40,280,70,0,2974,9948,9,0
2023-02-13,1833,3,16,698,7103,11,16,725,40,280,70,0,2975,9948,9,0
2023-02-14,1843,3,16,698,7118,11,16,725,40,280,70,0,2975,9948,9,0
2023-02-15,1841,3,16,700,7133,11,16,727,40,280,70,0,2975,9948,9,0
2023-02-16,1847,3,16,700,7147,11,16,727,40,280,70,0,2975,9948,9,0
2023-02-17,1846,3,16,700,7155,11,16,727,40,280,70,0,2975,9948,9,0
2023-02-18,1849,3,16,700,7164,11,16,727,40,280,70,0,2975,9948,9,0
2023-02-19,1846,3,16,700,7171,11,16,727,40,280,70,0,2975,9948,9,0
2023-02-20,1847,3,16,700,7179,11,16,727,40,280,70,0,2975,9948,9,0
2023-02-21,1847,3,16,700,7185,11,16,727,40,280,70,0,2975,9948,9,0
2023-02-22,1852,3,16,700,7197,11,16,727,40,280,70,0,2975,9948,9,0
2023-02-23,1850,3,16,700,7203,11,16,727,40,280,70,0,2975,9948,9,0
2023-02-24,1851,3,16,701,7209,11,16,728,40,280,70,0,2975,9948,9,0
2023-02-25,1850,3,16,701,7212,11,16,728,40,280,70,0,2975,9948,9,0
2023-02-26,1849,3,16,701,7212,11,16,728,40,280,70,0,2975,9948,9,0
2023-02-27,1852,3,16,701,7217,11,16,728,40,280,70,0,2975,9948,9,0
2023-02-28,1856,3,16,701,7226,11,16,728,40,280,70,0,2975,9948,9,0
2023-03-01,1857,3,16,701,7233,11,16,728,40,280,70,0,2975,9948,9,0
2023-03-02,1859,3,16,701,7238,11,16,728,40,280,70,0,2975,9948,9,0
2023-03-03,1859,3,16,701,7245,12,16,728,40,280,70,0,2975,9948,9,0
2023-03-04,1867,3,16,701,7257,12,16,728,40,280,70,0,2975,9948,9,0
2023-03-05,1864,4,16,701,7262,12,16,728,40,280,70,0,2975,9948,9,0
2023-03-06,1867,4,16,701,7269,12,16,728,40,280,70,0,2975,9948,9,0
2023-03-07,1870,4,16,701,7277,12,16,728,40,280,70,0,2975,9948,9,0
2023-03-08,1872,4,16,701,7283,12,16,728,40,280,70,0,2975,9948,9,0
2023-03-09,1876,4,16,701,7294,12,16,728,40,280,70,0,2975,9948,9,0
2023-03-10,1875,4,16,701,7301,12,16,728,40,280,70,0,2975,9948,9,0
2023-03-11,1887,4,16,701,7317,12,16,728,40,280,70,0,2975,9948,9,0
2023-03-12,1873,4,16,701,7319,12,16,728,40,280,70,0,2975,9948,9,0
2023-03-13,1876,4,16,701,7325,12,16,728,40,280,70,0,2975,9948,9,0
2023-03-14,1879,4,16,701,7331,12,16,728,40,280,70,0,2975,9948,9,0
2023-03-15,1883,4,16,701,7345,12,16,728,40,280,70,0,2975,9948,9,0
2023-03-16,1889,3,16,702,7360,12,16,729,40,280,70,0,2976,9948,9,0
2023-03-17,1883,3,16,702,7364,12,16,729,40,280,70,0,2976,9948,9,0
2023-03-18,1888,3,16,702,7373,12,16,729,40,280,70,0,2976,9948,9,0
2023-03-19,1886,3,16,702,7377,12,16,729,40,280,70,0,2976,9948,9,0
2023-03-20,1887,3,16,702,7381,12,16,729,40,280,70,0,2976,9948,9,0
2023-03-21,1890,3,16,702,7386,12,16,729,40,280,70,0,2976,9948,9,0
2023-03-22,1892,3,16,702,7393,12,16,729,40,280,70,0,2976,9948,9,0
