date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,2999,3,0,240,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-12,2999,3,0,240,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-13,2999,3,0,241,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-14,3011,3,0,241,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-15,3013,3,0,243,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-16,3015,3,0,243,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-17,3017,3,0,247,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-18,3017,3,0,247,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-19,3018,3,0,247,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-20,3021,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-21,3023,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-22,3023,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-23,3023,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-24,3023,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-25,3023,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-26,3024,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-27,3040,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-02-28,3048,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-01,3057,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-02,3073,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-03,3080,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-04,3081,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-05,3083,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-06,3086,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-07,3088,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-08,3088,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-09,3088,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-10,3088,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-11,3088,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-12,3088,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-13,3088,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-14,3088,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-15,3088,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-16,3089,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-17,3089,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-18,3089,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-19,3089,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-20,3089,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-21,3089,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-23,3089,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-24,3089,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-25,3088,3,0,247,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-26,3088,3,0,247,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-27,3095,3,0,247,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-28,3165,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-29,3171,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-30,3173,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-03-31,3173,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-04-01,3174,3,0,248,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-04-02,3175,3,0,249,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-04-03,3183,3,0,249,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-04-04,3186,3,0,249,2943,5,2,227,5,240,11,2,2284,6272,3,0
2023-04-05,3691,3,0,259,2943,5,2,227,5,240,11,2,2284,6272,3,0
