date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,1510,10,14,524,2540,30,15,540,93,265,22,336,724,690,0,2
2023-02-12,1515,10,14,524,2546,30,15,540,93,265,22,336,724,690,0,2
2023-02-13,1552,10,14,524,2588,30,15,540,93,268,22,336,724,1459,0,2
2023-02-14,1610,10,14,527,2653,30,15,543,93,270,22,336,730,2342,0,2
2023-02-15,1644,10,14,527,2695,31,15,543,94,271,22,336,733,2659,0,2
2023-02-16,1665,10,14,527,2716,31,15,543,94,271,22,336,733,2839,0,2
2023-02-17,1670,11,14,529,2725,31,15,545,94,271,22,336,733,2973,0,2
2023-02-18,1676,11,14,529,2730,31,15,545,94,271,22,336,733,3015,0,2
2023-02-19,1686,11,14,529,2740,31,15,545,94,271,22,336,733,3183,0,2
2023-02-20,1701,11,14,529,2754,31,15,545,94,271,22,336,733,3313,0,2
2023-02-21,1718,11,14,529,2772,31,15,545,94,271,22,336,733,3485,0,2
2023-02-22,1741,11,14,531,2796,31,15,547,94,271,22,336,736,3527,0,2
2023-02-23,1752,11,14,531,2806,31,15,547,96,272,22,336,736,3619,0,2
2023-02-24,1760,11,14,531,2815,31,15,547,96,272,22,336,736,3665,0,2
2023-02-25,1767,11,14,531,2823,31,15,547,96,272,22,336,736,3795,0,2
2023-02-26,1774,11,14,531,2830,31,15,547,96,272,22,336,736,3795,0,2
2023-02-27,1794,11,14,531,2849,31,15,547,96,273,22,336,736,3239,0,2
2023-02-28,1804,11,14,531,2862,31,15,547,96,271,22,336,735,3239,0,2
2023-03-01,1811,11,14,531,2869,31,15,547,95,273,22,336,735,3323,0,2
2023-03-02,1822,11,14,531,2878,31,15,547,96,273,22,336,735,3323,0,2
2023-03-03,1858,12,15,531,2915,32,16,547,97,273,22,336,735,4051,0,2
2023-03-04,1893,12,15,531,2953,32,16,547,97,273,22,336,735,4891,0,2
2023-03-05,1902,12,15,531,2967,32,16,547,97,273,22,336,735,5143,0,2
2023-03-06,1908,12,15,532,2980,32,16,548,97,274,22,336,735,5371,0,2
2023-03-07,1917,12,15,532,2989,32,16,548,97,275,22,336,735,5567,0,2
