date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,252,0,10,12,320,1,16,22,140,3,0,0,0,0,0,0
2023-02-12,252,0,10,12,320,1,16,22,140,3,0,0,0,0,0,0
2023-02-13,253,0,10,12,321,1,16,22,141,3,0,0,0,0,0,0
2023-02-14,254,0,10,12,322,1,16,22,142,3,0,0,0,0,0,0
2023-02-15,254,0,10,12,322,1,16,22,142,3,0,0,0,0,0,0
2023-02-16,254,0,10,12,322,1,16,22,142,3,0,0,0,0,0,0
2023-02-17,254,0,10,12,322,1,16,22,144,3,0,0,0,0,0,0
2023-02-18,254,0,10,12,322,1,16,22,144,3,0,0,0,0,0,0
2023-02-19,254,0,10,12,322,1,16,22,144,4,0,0,1,0,0,0
2023-02-20,256,1,10,12,324,1,16,22,144,6,0,0,1,0,0,0
2023-02-21,256,1,10,12,324,1,16,22,145,6,0,0,1,0,0,0
2023-02-22,257,1,10,12,325,1,16,22,147,6,0,0,1,0,0,0
2023-02-23,258,1,10,16,325,1,16,26,147,6,0,0,1,0,0,0
2023-02-24,258,1,10,16,327,1,16,26,147,6,0,0,1,0,0,0
2023-02-25,260,1,10,16,329,1,16,26,147,6,0,0,1,0,0,0
2023-02-26,261,1,10,16,330,1,16,26,147,6,0,0,1,0,0,0
2023-02-27,261,1,10,16,330,1,16,26,149,6,0,0,1,0,0,0
2023-02-28,263,1,10,16,332,1,16,26,149,6,0,0,1,0,0,0
2023-03-01,265,1,10,16,334,1,16,26,149,6,0,0,1,0,0,0
2023-03-02,266,1,10,16,335,1,16,26,150,6,0,0,1,0,0,0
2023-03-03,267,1,10,16,336,1,16,26,150,6,0,0,1,0,0,0
2023-03-04,268,1,10,16,337,1,16,26,150,6,0,0,1,0,0,0
2023-03-05,268,1,10,24,337,1,16,34,150,6,0,0,1,0,0,0
2023-03-06,269,1,10,27,338,1,16,37,150,7,0,0,1,0,0,0
2023-03-07,269,1,10,27,338,1,16,37,150,7,0,0,1,0,0,0
2023-03-08,270,1,10,27,339,1,16,37,150,7,0,0,1,0,0,0
2023-03-09,271,1,10,28,340,1,16,38,150,7,0,0,1,0,0,0
2023-03-10,273,1,10,30,342,1,16,40,150,7,0,0,1,0,0,0
2023-03-11,273,1,10,30,342,1,16,40,150,7,0,0,1,0,0,0
2023-03-12,273,1,10,30,342,1,16,40,150,7,0,0,1,0,0,0
2023-03-13,273,1,10,30,342,1,16,40,150,8,0,0,1,0,0,0
2023-03-14,274,1,10,30,343,1,16,40,150,8,0,0,1,0,0,0
2023-03-15,274,1,10,30,343,1,16,40,152,8,0,0,1,0,0,0
2023-03-16,274,1,10,30,343,1,16,40,152,8,0,0,1,0,0,0
2023-03-17,274,1,10,30,343,1,16,40,152,8,0,0,1,0,0,0
2023-03-18,274,1,10,30,343,1,16,40,155,8,0,0,1,0,0,0
2023-03-19,275,1,10,30,344,1,16,40,155,10,0,0,1,0,0,0
2023-03-20,275,1,10,31,344,1,16,41,155,10,0,0,1,0,0,0
2023-03-21,276,1,10,32,345,1,16,42,156,10,0,0,2,0,0,0
2023-03-22,280,1,10,37,347,1,16,47,156,13,0,0,9,0,0,0
2023-03-23,284,1,10,47,353,1,16,57,156,16,0,0,33,0,0,0
2023-03-24,284,1,10,54,353,1,16,64,156,19,0,0,42,0,0,0
2023-03-25,284,1,10,54,353,1,16,64,156,19,0,0,42,0,0,0
2023-03-26,285,1,10,54,354,1,16,64,156,19,0,0,42,0,0,0
2023-03-27,285,1,10,54,354,1,16,64,156,19,0,0,42,0,0,0
2023-03-28,287,1,10,54,356,1,16,64,156,19,0,0,42,0,0,0
