date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,1075,0,2,0,2657,2,2,20,5,2,0,5,0,0,0,0
2023-02-12,1076,0,2,0,2657,2,2,20,5,2,0,5,0,0,0,0
2023-02-13,1079,0,2,0,2657,2,2,20,5,2,0,5,0,0,0,0
2023-02-14,1089,0,2,0,2668,2,2,20,5,2,0,5,0,0,0,0
2023-02-15,1094,0,2,0,2689,2,2,20,5,2,0,5,0,0,0,0
2023-02-16,1099,0,2,0,2703,2,2,20,5,2,0,5,0,0,0,0
2023-02-17,1103,0,2,0,2722,2,2,20,5,2,0,5,0,0,0,0
2023-02-18,1106,0,2,0,2734,2,2,20,5,2,0,5,0,0,0,0
2023-02-19,1106,0,2,0,2741,2,2,20,5,2,0,5,0,0,0,0
2023-02-20,1108,0,2,0,2745,2,2,20,5,2,0,5,0,0,0,0
2023-02-21,1114,0,2,0,2753,2,2,20,5,2,0,5,0,0,0,0
2023-02-22,1121,0,2,0,2770,2,2,20,5,2,0,5,0,0,0,0
2023-02-23,1124,0,2,0,2787,2,2,20,5,2,0,5,0,0,0,0
2023-02-24,1132,0,2,0,2801,2,2,20,5,2,0,5,0,0,0,0
2023-02-25,1132,0,2,0,2823,2,2,20,5,2,0,5,0,0,0,0
2023-02-26,1135,0,2,0,2827,2,2,20,5,2,0,5,0,0,0,0
2023-02-27,1141,0,2,0,2832,2,2,20,5,2,0,5,0,0,0,0
2023-02-28,1146,0,2,0,2860,2,2,20,5,2,0,5,0,0,0,0
2023-03-01,1151,0,2,0,2874,2,2,20,5,2,0,5,0,0,0,0
2023-03-02,1156,0,2,0,2886,2,2,20,5,2,0,5,0,0,0,0
2023-03-03,1161,0,2,0,2897,2,2,20,5,2,0,5,0,0,0,0
2023-03-04,1166,0,2,0,2905,2,2,20,5,2,0,5,0,0,0,0
2023-03-05,1169,0,2,0,2915,2,2,20,5,2,0,5,0,0,0,0
2023-03-06,1181,0,2,0,2921,2,2,20,5,2,0,5,0,0,0,0
2023-03-07,1184,0,2,0,2937,2,2,20,5,2,0,5,0,0,0,0
2023-03-08,1186,0,2,0,2942,2,2,20,5,2,0,5,0,0,0,0
2023-03-09,1187,0,2,0,2954,2,2,20,5,2,0,5,0,0,0,0
