date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,40,0,7,0,56,0,7,2,0,0,0,0,0,0,58,0
2023-02-12,40,0,7,0,56,0,7,2,0,0,0,0,0,0,58,0
2023-02-13,40,0,7,0,56,0,7,2,0,0,0,0,0,0,58,0
2023-02-15,42,0,7,0,58,0,7,2,0,0,0,0,0,0,58,0
2023-02-16,43,0,7,0,59,0,7,2,0,0,0,0,0,0,58,0
2023-02-17,43,0,7,0,59,0,7,2,0,0,0,0,0,0,58,0
2023-02-18,43,0,7,0,59,0,7,2,0,0,0,0,0,0,58,0
2023-02-19,43,0,7,0,59,0,7,2,0,0,0,0,0,0,58,0
2023-02-20,44,0,7,0,59,0,7,2,0,0,0,0,0,0,58,0
2023-02-21,45,0,7,0,60,0,7,2,0,0,0,0,0,0,58,0
2023-02-22,47,0,7,0,63,0,7,2,0,0,0,0,0,0,58,0
2023-02-23,47,0,7,0,64,0,7,2,0,0,0,0,0,0,58,0
2023-02-24,47,0,7,0,64,0,7,2,0,0,0,0,0,0,58,0
2023-02-25,47,0,7,0,64,0,7,2,0,0,0,0,0,0,58,0
2023-02-26,47,0,7,0,64,0,7,2,0,0,0,0,0,0,58,0
2023-02-27,47,0,7,0,64,0,7,2,0,0,0,0,0,0,58,0
2023-02-28,48,0,7,0,66,0,7,2,0,0,0,0,0,0,58,0
2023-03-01,50,0,7,0,68,0,7,2,0,0,0,0,0,0,58,0
2023-03-02,50,0,7,0,68,0,7,2,0,0,0,0,0,0,58,0
2023-03-03,50,0,7,0,68,0,7,2,0,0,0,0,0,0,58,0
2023-03-04,50,0,7,0,68,0,7,2,0,0,0,0,0,0,58,0
2023-03-05,50,0,7,0,68,0,7,2,0,0,0,0,0,0,58,0
2023-03-06,50,0,7,0,68,0,7,2,0,0,0,0,0,0,58,0
2023-03-07,51,0,7,0,69,0,7,2,0,0,0,0,0,0,58,0
2023-03-08,53,0,7,0,71,0,7,2,0,0,0,0,0,0,58,0
2023-03-09,54,0,7,0,72,0,7,2,0,0,0,0,0,0,58,0
2023-03-10,54,0,7,0,72,0,7,2,0,0,0,0,0,0,58,0
2023-03-11,54,0,7,0,72,0,7,2,0,0,0,0,0,0,58,0
2023-03-12,54,0,7,0,72,0,7,2,0,0,0,0,0,0,58,0
2023-03-13,54,0,7,0,72,0,7,2,0,0,0,0,0,0,58,0
2023-03-14,54,0,7,0,73,0,7,2,0,0,0,0,0,0,58,0
2023-03-15,55,0,7,0,74,0,7,2,0,0,0,0,0,0,58,0
2023-03-16,56,0,7,0,76,0,7,2,0,0,0,0,0,0,58,0
2023-03-17,56,0,7,0,76,0,7,2,0,0,0,0,0,0,58,0
2023-03-18,57,0,7,0,77,0,7,2,0,0,0,0,0,0,58,0
2023-03-19,57,0,7,0,77,0,7,2,0,0,0,0,0,0,58,0
2023-03-20,57,0,7,0,77,0,7,2,0,0,0,0,0,0,58,0
2023-03-21,59,0,7,0,79,0,7,2,0,0,0,0,0,0,58,0
2023-03-22,60,0,7,0,79,0,7,2,0,0,0,0,0,0,58,0
2023-03-23,61,0,7,0,81,0,7,2,0,0,0,0,0,0,58,0
2023-03-24,61,0,7,0,81,0,7,2,0,0,0,0,0,0,58,0
2023-03-25,61,0,7,0,81,0,7,2,0,0,0,0,0,0,58,0
2023-03-26,61,0,7,0,81,0,7,2,0,0,0,0,0,0,58,0
2023-03-27,61,0,7,0,81,0,7,2,0,0,0,0,0,0,58,0
2023-03-28,63,0,7,0,83,0,7,2,0,0,0,0,0,0,58,0
