date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-12,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-13,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-14,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-15,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-16,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-17,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-18,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-19,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-20,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-21,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-22,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-23,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-24,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-25,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-26,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-27,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-02-28,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-01,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-02,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-03,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-04,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-05,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-06,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-07,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-08,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-09,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-10,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-11,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-12,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-13,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-14,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-15,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-16,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-17,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-18,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-19,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-20,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-21,51,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-22,52,0,1,0,101,4,1,10,0,36,0,2,4,0,0,0
2023-03-23,52,0,1,0,101,5,1,10,0,36,0,2,4,0,0,0
2023-03-24,52,0,1,0,101,5,1,10,0,36,0,2,4,0,0,0
2023-03-25,52,0,1,0,101,5,1,10,0,36,0,2,4,0,0,0
2023-03-26,52,0,1,0,101,5,1,10,0,36,0,2,4,0,0,0
2023-03-27,52,0,0,0,101,5,1,10,0,36,0,2,4,0,0,0
2023-03-28,52,0,0,0,101,5,1,10,0,36,0,2,4,0,0,0
2023-03-29,52,0,0,2,101,5,1,12,0,37,0,1,4,0,0,0
2023-03-30,52,1,0,2,101,5,1,12,0,37,0,1,4,0,0,0
2023-03-31,52,1,0,2,101,5,1,12,0,37,0,1,4,0,0,0
2023-04-01,52,1,0,2,101,5,1,12,0,37,0,1,4,0,0,0
2023-04-02,52,1,0,2,101,5,1,12,0,37,0,1,4,0,0,0
2023-04-03,52,1,0,2,101,5,1,12,0,37,0,1,4,0,0,0
2023-04-04,56,1,0,0,125,5,1,10,0,36,0,1,4,0,0,0
2023-04-05,58,1,0,0,125,5,1,10,0,36,0,1,4,0,0,0
2023-04-06,58,1,0,0,125,5,1,10,0,36,0,1,4,0,0,0
2023-04-07,59,1,0,0,125,5,1,10,0,36,0,1,4,0,0,0
2023-04-08,59,1,0,0,125,5,1,10,0,36,0,1,4,0,0,0
2023-04-09,59,1,0,0,125,5,1,10,0,36,0,1,4,0,0,0
2023-04-10,59,1,0,0,125,5,1,10,0,36,0,1,4,0,0,0
2023-04-11,59,1,0,0,125,5,1,10,0,37,0,1,4,0,0,0
2023-04-12,59,1,0,0,125,5,1,10,0,37,0,2,4,0,0,0
2023-04-13,59,1,0,0,125,5,1,10,0,37,0,2,4,0,0,0
2023-04-14,59,1,0,0,125,5,1,10,0,37,0,2,4,0,0,0
2023-04-15,59,1,0,0,125,5,1,10,0,37,0,2,4,0,0,0
2023-04-16,59,1,0,0,125,5,1,10,0,37,0,2,4,0,0,0
2023-04-17,59,1,0,0,125,5,1,10,0,37,0,2,4,0,0,0
2023-04-18,59,1,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-04-19,59,1,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-04-20,59,1,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-04-21,59,1,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-04-22,59,1,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-04-23,59,1,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-04-24,59,1,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-04-25,59,1,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-04-26,59,1,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-04-27,59,1,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-04-28,59,1,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-04-29,59,1,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-04-30,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-01,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-02,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-03,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-04,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-05,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-06,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-07,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-08,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-09,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-10,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-11,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-12,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-13,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-14,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-15,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-16,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-17,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-18,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-19,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-20,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-21,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-22,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-23,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-24,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-25,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-26,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-27,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-28,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-29,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-30,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-05-31,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-06-01,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-06-02,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-06-03,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-06-04,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-06-05,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-06-06,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-06-07,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-06-08,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-06-09,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-06-10,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-06-11,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-06-12,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-06-13,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-06-14,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
2023-06-15,59,0,0,0,125,5,1,10,0,37,0,3,4,0,0,0
