date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-12,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-13,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-14,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-15,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-16,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-17,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-18,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-19,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-20,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-21,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-22,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-23,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-24,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-25,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-26,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-27,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-02-28,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-03-01,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-03-02,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-03-03,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
2023-03-04,191,4,5,4,287,6,12,22,19,16,0,1,7,1304,0,0
