date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,1728,0,0,169,2297,4,0,169,17,535,290,0,10,0,0,0
2021-08-11,1731,0,0,169,2300,4,0,169,17,535,290,0,10,0,0,0
2021-08-12,1733,0,0,169,2303,4,0,169,17,535,290,0,10,0,0,0
2021-08-13,1734,0,0,169,2303,4,0,169,17,535,290,0,10,0,0,0
2021-08-14,1735,0,0,169,2305,4,0,169,17,535,290,0,10,0,0,0
2021-08-15,1735,0,0,169,2305,4,0,169,17,535,290,0,10,0,0,0
2021-08-16,1736,0,0,169,2306,4,0,169,17,535,290,0,10,0,0,0
2021-08-17,1739,0,0,171,2308,4,0,171,17,535,290,0,10,0,0,0
2021-08-18,1740,0,0,171,2309,4,0,171,17,535,290,0,10,0,0,0
2021-08-19,1740,0,0,171,2311,4,0,171,17,535,290,0,10,0,0,0
2021-08-20,1744,0,0,171,2316,4,0,171,17,535,290,0,10,0,0,0
2021-08-21,1749,0,0,171,2320,4,0,171,17,535,290,0,10,0,0,0
2021-08-22,1749,0,0,171,2320,4,0,171,17,535,290,0,10,0,0,0
2021-08-23,1751,0,0,171,2322,4,0,171,17,535,290,0,10,0,0,0
2021-08-24,1753,0,0,171,2325,4,0,171,17,535,290,0,10,0,0,0
2021-08-25,1757,0,0,171,2331,4,0,171,17,535,290,0,10,0,0,0
2021-08-26,1758,0,0,171,2334,4,0,171,17,535,290,0,10,0,0,0
2021-08-27,1759,0,0,171,2339,4,0,171,17,535,290,0,10,0,0,0
2021-08-28,1762,0,0,171,2343,4,0,171,17,535,290,0,10,0,0,0
2021-08-29,1762,0,0,171,2343,4,0,171,17,535,290,0,10,0,0,0
2021-08-30,1764,0,0,171,2345,4,0,171,17,535,290,0,10,0,0,0
2021-08-31,1765,0,0,171,2347,4,0,171,17,535,290,0,10,0,0,0
2021-09-01,1770,0,0,177,2353,4,0,177,17,535,290,0,10,0,0,0
2021-09-02,1774,0,0,178,2358,4,0,178,17,535,290,0,10,0,0,0
2021-09-03,1775,0,0,180,2359,4,0,180,17,535,290,0,10,0,0,0
2021-09-04,1780,0,0,196,2364,4,0,196,17,535,290,0,10,0,0,0
2021-09-05,1785,0,0,201,2369,4,0,201,17,535,290,0,10,0,0,0
2021-09-06,1790,0,0,201,2373,4,0,201,17,535,290,0,10,0,0,0
2021-09-07,1791,0,0,205,2373,4,0,205,17,535,290,0,10,0,0,0
2021-09-08,1792,0,0,205,2375,4,0,205,17,535,290,0,10,0,0,0
2021-09-09,1796,0,0,205,2380,4,0,205,17,535,290,0,10,0,0,0
2021-09-10,1800,0,0,207,2386,4,0,207,17,535,290,0,10,0,0,0
2021-09-11,1802,0,0,207,2387,4,0,207,17,535,290,0,10,0,0,0
2021-09-12,1802,0,0,207,2389,4,0,207,17,535,290,0,10,0,0,0
2021-09-13,1804,0,0,208,2392,4,0,208,17,535,290,0,10,0,0,0
2021-09-14,1810,0,0,208,2398,4,0,208,17,535,290,0,10,0,0,0
