date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-11,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-12,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-13,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-14,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-15,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-16,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-17,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-18,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-19,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-20,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-21,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-22,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-23,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-24,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-25,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-26,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-27,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-28,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-29,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-30,219,0,0,111,259,1,0,111,0,78,0,535,30,0,0,0
2021-08-31,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-01,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-02,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-03,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-04,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-05,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-06,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-07,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-08,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-09,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-10,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-11,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-12,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-13,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-14,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-15,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-16,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-17,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-18,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-19,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-09-20,219,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-11-22,225,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2021-11-24,225,0,0,111,260,1,0,111,0,78,0,535,30,0,0,0
2022-05-03,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-07,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-08,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-09,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-10,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-11,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-12,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-13,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-14,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-15,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-16,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-17,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-18,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-19,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-20,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-21,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-22,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-23,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-24,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-25,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-26,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-27,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-28,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-29,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-30,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-05-31,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-06-01,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-06-02,297,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-06-03,301,0,0,111,341,1,0,111,0,78,0,535,30,0,0,0
2022-06-04,301,0,0,111,345,1,0,111,0,78,0,535,30,0,0,0
2022-06-05,301,0,0,111,345,1,0,111,0,78,0,535,30,0,0,0
2022-06-06,301,0,0,111,345,1,0,111,0,78,0,535,30,0,0,0
2022-06-07,302,0,0,111,345,1,0,111,0,78,0,535,30,0,0,0
2022-06-08,303,0,0,111,345,1,0,111,0,78,0,535,30,0,0,0
2022-06-09,303,0,0,111,347,1,0,111,0,78,0,535,30,0,0,0
2022-06-10,303,0,0,111,347,1,0,111,0,78,0,535,30,0,0,0
2022-06-11,303,0,0,111,347,1,0,111,0,78,0,535,30,0,0,0
2022-06-12,303,0,0,111,347,1,0,111,0,78,0,535,30,0,0,0
2022-06-13,303,0,0,111,347,1,0,111,0,78,0,535,30,0,0,0
2022-06-14,303,0,0,111,347,1,0,111,0,78,0,535,30,0,0,0
2022-06-15,304,0,0,111,347,1,0,111,0,78,0,535,30,0,0,0
2022-06-16,304,0,0,111,348,1,0,111,0,78,0,535,30,0,0,0
2022-06-17,304,0,0,111,348,1,0,111,0,78,0,535,30,0,0,0
2022-06-18,304,0,0,111,348,1,0,111,0,78,0,535,30,0,0,0
2022-06-19,304,0,0,111,348,1,0,111,0,78,0,535,30,0,0,0
2022-06-20,305,0,0,111,348,1,0,111,0,78,0,535,30,0,0,0
2022-06-21,305,0,0,111,349,1,0,111,0,78,0,535,30,0,0,0
2022-06-22,306,0,0,111,349,1,0,111,0,78,0,535,30,0,0,0
2022-06-23,306,0,0,111,350,1,0,111,0,78,0,535,30,0,0,0
2022-06-24,306,0,0,111,350,1,0,111,0,78,0,535,30,0,0,0
