date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-11,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-12,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-13,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-14,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-15,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-16,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-17,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-18,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-19,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-20,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-21,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-22,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-23,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-24,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-25,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-26,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-27,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
2021-08-28,167,0,0,53,207,2,0,53,1,25,0,253,10,4320,0,0
