date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,317,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,317,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-08,317,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
