date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,2155,1,7,152,4233,16,8,175,207,722,276,4066,267,0,8,4
2021-08-11,2155,1,7,152,4234,16,8,175,207,722,276,4066,267,0,8,4
2021-08-12,2155,1,7,152,4234,16,8,175,207,722,276,4066,267,0,8,4
2021-08-13,2155,1,7,152,4234,16,8,175,207,722,276,4066,267,0,8,4
2021-08-14,2155,1,7,152,4234,16,8,175,207,722,276,4066,267,0,8,4
2021-08-15,2155,1,7,152,4234,16,8,175,207,722,276,4066,267,0,8,4
2021-08-16,2155,1,7,152,4234,16,8,175,207,722,276,4066,267,0,8,4
2021-08-17,2155,1,7,152,4234,16,8,175,207,722,276,4066,267,0,8,4
2021-08-18,2156,1,7,152,4236,16,8,175,207,722,276,4066,267,0,8,4
2021-08-19,2156,1,7,152,4236,16,8,175,207,722,276,4066,267,0,8,4
2021-08-20,2156,1,7,152,4236,16,8,175,207,722,276,4066,267,0,8,4
2021-08-21,2156,1,7,152,4237,16,8,175,207,722,276,4066,267,0,8,4
2021-08-22,2156,1,7,152,4237,16,8,175,207,722,276,4066,267,0,8,4
2021-08-23,2157,1,7,152,4238,16,8,175,207,722,276,4066,267,0,8,4
2021-08-24,2158,1,7,152,4239,16,8,175,207,722,276,4066,267,0,8,4
2021-08-25,2159,1,7,152,4242,16,8,175,207,722,276,4066,267,0,8,4
2021-08-26,2160,1,7,152,4244,16,8,175,207,722,276,4066,267,0,8,4
2021-08-27,2160,1,7,152,4244,16,8,175,207,722,276,4066,267,0,8,4
2021-08-28,2160,1,7,152,4245,16,8,175,207,722,276,4066,267,0,8,4
2021-08-29,2160,1,7,152,4245,16,8,175,207,722,276,4066,267,0,8,4
2021-08-30,2162,1,7,152,4247,16,8,175,208,722,276,4066,267,0,8,4
2021-08-31,2164,1,7,152,4251,16,8,175,208,722,276,4066,267,0,8,4
2021-09-01,2164,1,7,152,4254,16,8,175,208,722,276,4066,267,0,8,4
2021-09-02,2164,1,7,152,4254,16,8,175,208,722,276,4066,267,0,8,4
2021-09-03,2164,1,7,152,4254,16,8,175,208,722,276,4066,267,0,8,4
2021-09-04,2164,1,7,152,4254,16,8,175,208,722,276,4066,267,0,8,4
2021-09-05,2164,1,7,152,4254,16,8,175,208,722,276,4066,267,0,8,4
2021-09-06,2165,1,7,152,4256,16,8,175,208,722,276,4066,267,0,8,4
2021-09-07,2167,1,7,152,4258,16,8,175,208,722,276,4066,267,0,8,4
2021-09-08,2167,1,7,152,4259,16,8,175,208,722,276,4066,267,0,8,4
2021-09-09,2168,1,7,152,4260,16,8,175,208,722,276,4066,267,0,8,4
2021-09-10,2168,1,7,152,4260,16,8,175,208,722,276,4066,267,0,8,4
2021-09-11,2168,1,7,152,4260,16,8,175,208,722,276,4066,267,0,8,4
2021-09-12,2168,1,7,152,4260,16,8,175,208,722,276,4066,267,0,8,4
2021-09-13,2168,1,7,152,4260,16,8,175,208,722,276,4066,267,0,8,4
2021-09-14,2169,1,7,152,4261,16,8,175,208,722,276,4066,267,0,8,4
2021-09-15,2170,1,7,152,4262,16,8,175,208,722,276,4066,267,0,8,4
2021-09-16,2171,1,7,152,4263,16,8,175,208,722,276,4066,267,0,8,4
2021-09-17,2171,1,7,152,4263,16,8,175,208,723,276,4066,267,0,8,4
2021-09-18,2171,1,7,152,4263,16,8,175,208,723,276,4066,267,0,8,4
2021-09-19,2171,1,7,152,4263,16,8,175,208,723,276,4066,267,0,8,4
