date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,1118,2,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-11,1118,2,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-12,1118,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-13,1118,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-14,1118,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-15,1118,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-16,1118,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-17,1118,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-18,1118,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-19,1118,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-20,1118,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-21,1118,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-22,1118,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-23,1118,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-24,1118,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-25,1118,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-26,1118,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-27,1119,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-28,1119,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-29,1119,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-30,1120,3,0,250,1453,4,0,281,4,113,16,1656,74,30540,0,0
2021-08-31,1126,3,0,250,1457,5,0,281,8,113,16,1656,74,30540,0,0
2021-09-01,1128,3,0,250,1457,5,0,281,8,113,16,1656,74,30540,0,0
2021-09-02,1130,3,0,250,1457,5,0,281,8,113,16,1656,74,30540,0,0
2021-09-03,1131,3,0,250,1457,5,0,281,8,113,16,1656,74,30540,0,0
2021-09-04,1131,3,0,250,1468,5,0,281,8,113,16,1656,74,30540,0,0
2021-09-05,1132,3,0,250,1468,5,0,281,8,113,16,1656,74,30540,0,0
2021-09-06,1135,3,0,250,1468,5,0,281,8,113,16,1656,74,30540,0,0
2021-09-07,1138,3,0,250,1468,5,0,281,8,113,16,1656,74,30540,0,0
2021-09-08,1141,3,0,250,1468,5,0,281,8,113,16,1656,74,30540,0,0
2021-09-09,1141,3,0,250,1468,5,0,281,8,113,16,1656,74,30540,0,0
2021-09-10,1143,3,0,250,1468,5,0,281,8,113,16,1656,74,30540,0,0
2021-09-11,1143,3,0,250,1468,5,0,281,8,113,16,1656,74,30540,0,0
2021-09-12,1143,3,0,250,1468,5,0,281,8,113,16,1656,74,30540,0,0
2021-09-13,1144,3,0,250,1468,5,0,281,8,113,16,1656,74,30540,0,0
2021-09-14,1144,3,0,250,1468,5,0,281,8,113,16,1656,74,30540,0,0
2021-09-15,1144,3,0,250,1468,5,0,281,8,113,16,1656,74,30540,0,0
