date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,16076,14,69,1037,22289,258,76,1959,336,5226,653,8458,6674,29992,7,12
2021-08-11,16084,14,69,1037,22310,258,76,1959,336,5226,653,8461,6674,29992,7,12
2021-08-12,16100,14,69,1037,22338,258,76,1959,336,5228,653,8467,6674,29992,7,12
2021-08-13,16111,14,69,1037,22350,258,76,1959,336,5228,653,8467,6674,29992,7,12
2021-08-14,16120,14,69,1037,22361,258,76,1959,336,5228,653,8467,6674,29992,7,12
2021-08-15,16127,14,69,1037,22369,258,76,1959,336,5228,653,8467,6674,29992,7,12
2021-08-16,16149,14,69,1037,22400,258,76,1959,336,5228,653,8467,6674,29992,7,12
2021-08-17,16168,14,69,1038,22423,258,76,1960,336,5229,653,8469,6676,29992,7,12
2021-08-18,16185,14,69,1038,22445,258,76,1960,336,5229,653,8469,6676,29992,7,12
2021-08-19,16194,14,69,1039,22463,258,76,1961,336,5229,653,8469,6676,29992,7,12
2021-08-20,16208,14,69,1039,22485,258,76,1961,336,5229,653,8469,6676,29992,7,12
2021-08-21,16218,14,69,1039,22497,258,76,1961,336,5229,653,8469,6676,29992,7,12
