date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,144535,0,0,0,144535,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,144568,0,0,0,144573,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,144643,0,0,0,144648,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,144724,0,0,0,144729,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,144788,0,0,0,144793,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,144847,0,0,0,144852,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,144900,0,0,0,144905,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,144957,0,0,0,144962,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,145023,0,0,0,145027,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,145096,0,0,0,145103,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,145207,0,0,0,145209,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,145276,0,0,0,145280,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,145336,0,0,0,145341,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,145815,0,0,0,145813,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,146084,0,0,0,146081,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,146253,0,0,0,146254,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,146373,0,0,0,146376,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,146454,0,0,0,146455,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,146558,0,0,0,146561,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,146712,0,0,0,146714,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,146748,0,0,0,146754,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,146821,0,0,0,146825,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,146896,0,0,0,146903,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,146936,0,0,0,146941,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,146966,0,0,0,146971,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,146996,0,0,0,147003,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,147024,0,0,0,147028,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,147062,0,0,0,147069,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,147106,0,0,0,147111,0,0,0,0,0,0,0,0,0,0,0
2021-09-08,147133,0,0,0,147140,0,0,0,0,0,0,0,0,0,0,0
2021-09-09,147172,0,0,0,147178,0,0,0,0,0,0,0,0,0,0,0
2021-09-10,147201,0,0,0,147207,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,147246,0,0,0,147252,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,147289,0,0,0,147294,0,0,0,0,0,0,0,0,0,0,0
2021-09-13,147335,0,0,0,147342,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,147387,0,0,0,147392,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,147440,0,0,0,147447,0,0,0,0,0,0,0,0,0,0,0
