date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,174197,0,0,0,174198,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,174198,0,0,0,174199,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,174214,0,0,0,174215,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,174230,0,0,0,174230,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,174239,0,0,0,174240,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,174251,0,0,0,174252,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,174270,0,0,0,174269,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,174289,0,0,0,174289,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,174306,0,0,0,174306,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,174329,0,0,0,174328,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,174366,0,0,0,174366,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,174396,0,0,0,174396,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,174480,0,0,0,174480,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,174552,0,0,0,174550,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,174609,0,0,0,174608,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,174660,0,0,0,174658,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,174685,0,0,0,174684,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,174711,0,0,0,174712,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,174737,0,0,0,174738,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,174757,0,0,0,174757,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,174776,0,0,0,174777,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,174805,0,0,0,174804,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,174833,0,0,0,174834,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,174873,0,0,0,174873,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,174913,0,0,0,174912,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,174936,0,0,0,174937,0,0,0,0,0,0,0,0,0,0,0
