date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,5180,2,1,1393,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,5186,0,1,1393,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,5192,0,1,1394,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,5204,0,1,1394,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,5206,0,1,1394,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,5208,0,1,1394,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,5213,0,1,1394,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,5219,0,1,1394,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,5226,0,1,1394,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,5229,0,1,1394,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,5236,0,1,1394,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,5241,0,1,1394,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,5243,0,1,1394,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,5257,0,1,1394,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,5264,0,1,1394,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,5272,0,1,1394,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,5283,0,1,1394,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,5285,0,1,1396,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,5290,0,1,1396,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,5291,0,1,1396,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,5297,0,1,1396,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,5303,0,1,1396,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,5305,0,1,1396,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,5312,0,1,1396,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,5323,0,1,1404,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,5324,0,1,1404,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,5325,0,1,1404,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,5336,0,1,1404,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,5344,0,1,1404,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-08,5350,0,1,1405,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-09,5359,0,1,1407,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-10,5367,0,1,1407,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,5376,0,1,1407,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,5378,0,1,1408,0,0,0,0,0,0,0,0,0,0,0,0
