date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,1177,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,1180,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,1182,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,1186,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,1187,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,1187,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,1189,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,1196,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,1199,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,1206,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,1213,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,1214,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,1214,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,1217,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,1221,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,1224,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,1224,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,1228,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,1229,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,1230,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,1232,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,1238,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,1248,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,1249,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,1250,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,1251,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,1251,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,1253,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,1255,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0
