date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,332,4,0,93,417,8,0,139,1,79,0,1102,33,0,0,0
2021-08-11,332,4,0,93,417,8,0,139,1,79,0,1102,33,0,0,0
2021-08-12,332,4,0,93,417,8,0,139,1,79,0,1102,33,0,0,0
2021-08-13,333,4,0,93,417,8,0,139,1,79,0,1102,33,0,0,0
2021-08-14,333,4,0,93,417,8,0,139,1,79,0,1102,33,0,0,0
2021-08-15,333,4,0,93,417,8,0,139,1,79,0,1102,33,0,0,0
2021-08-16,333,4,0,93,417,8,0,139,1,79,0,1102,33,0,0,0
2021-08-17,333,4,0,93,417,8,0,139,1,79,0,1102,33,0,0,0
2021-08-18,333,4,0,93,417,8,0,139,1,79,0,1102,33,0,0,0
2021-08-19,334,4,0,93,417,8,0,139,1,79,0,1102,33,0,0,0
2021-08-20,334,4,0,93,417,8,0,139,1,79,0,1102,33,0,0,0
2021-08-21,334,4,0,93,417,8,0,139,1,79,0,1102,33,0,0,0
2021-08-22,334,4,0,93,417,8,0,139,1,79,0,1102,33,0,0,0
2021-08-23,334,4,0,93,417,8,0,139,1,79,0,1102,33,0,0,0
2021-08-24,334,4,0,93,417,8,0,139,1,79,0,1102,33,0,0,0
