date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,13817,4,12,2777,18760,25,12,3102,139,2339,881,412,5772,11503,48,0
2021-08-11,13828,4,12,2777,18768,25,12,3104,139,2339,881,412,5773,11503,48,0
2021-08-12,13833,4,12,2777,18783,25,12,3104,139,2339,881,412,5773,11503,48,0
2021-08-13,13838,4,12,2777,18786,25,12,3104,139,2339,881,412,5774,11503,48,0
2021-08-14,13840,4,12,2777,18790,25,12,3104,139,2339,881,412,5774,11503,48,0
2021-08-15,13841,4,12,2777,18793,25,12,3104,139,2339,881,412,5774,11503,48,0
2021-08-16,13848,4,12,2778,18794,25,12,3104,139,2339,881,412,5774,11503,48,0
2021-08-17,13851,4,12,2778,18801,25,12,3105,139,2339,881,412,5776,11503,48,0
2021-08-18,13855,4,12,2778,18804,25,12,3105,139,2339,881,412,5777,11503,48,0
2021-08-19,13856,4,12,2778,18809,25,12,3105,139,2339,881,412,5777,11503,48,0
