date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,87,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,96,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,103,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,103,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,104,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,110,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,111,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,111,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,111,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,117,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0
