date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,279,0,2,25,446,2,2,34,3,110,0,3,7,150,0,0
2021-08-11,279,0,2,25,446,2,2,34,3,110,0,3,7,150,0,0
2021-08-12,279,0,2,25,448,2,2,34,3,110,0,3,7,150,0,0
2021-08-13,280,0,2,25,449,2,2,34,3,110,0,3,7,150,0,0
2021-08-14,280,0,2,25,451,2,2,34,3,110,0,3,7,150,0,0
2021-08-15,280,0,2,25,451,2,2,34,3,110,0,3,7,150,0,0
2021-08-16,281,0,2,25,452,2,2,34,3,110,0,3,7,150,0,0
2021-08-17,284,0,2,25,453,2,2,34,3,110,0,3,7,150,0,0
2021-08-18,284,0,2,25,458,2,2,34,3,110,0,3,7,150,0,0
2021-08-19,286,0,2,25,462,2,2,34,3,110,0,3,7,150,0,0
2021-08-20,286,0,2,25,465,2,2,34,3,110,0,3,7,150,0,0
2021-08-21,287,0,2,25,465,2,2,34,3,110,0,3,7,150,0,0
2021-08-22,287,0,2,25,467,2,2,34,3,110,0,3,7,150,0,0
2021-08-23,288,0,2,25,468,2,2,34,3,110,0,3,7,150,0,0
2021-08-24,290,0,2,25,469,2,2,34,3,110,0,3,7,150,0,0
