date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
