date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-11,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-12,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-13,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-14,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-15,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-16,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-17,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-18,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-19,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-20,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-21,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-22,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-23,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-24,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-25,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-26,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-27,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-28,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-29,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-30,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-08-31,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-09-01,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-09-02,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-09-03,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
2021-09-04,2565,0,0,284,2566,1,0,284,0,34,0,7450,0,0,0,0
