date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,2492,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-11,2496,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-12,2501,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-13,2506,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-14,2508,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-15,2510,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-16,2519,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-17,2520,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-18,2521,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-19,2524,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-20,2527,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-21,2529,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-22,2530,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-23,2532,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-24,2534,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-25,2536,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-26,2541,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-27,2544,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-28,2545,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-29,2546,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-30,2551,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-08-31,2557,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-09-01,2566,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-09-02,2570,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-09-03,2573,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-09-04,2573,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-09-05,2573,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-09-06,2574,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-09-07,2576,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-09-08,2583,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-09-09,2596,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-09-10,2598,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-09-11,2601,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-09-12,2604,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-09-13,2616,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-09-14,2616,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-09-15,2618,0,33,143,2548,6,26,133,16,151,36,929,656,12,15,5
2021-09-16,2625,0,33,145,2548,6,26,133,16,151,36,929,656,12,15,5
