date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,1382,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,1382,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,1382,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,1383,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,1383,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,1383,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,1384,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,1384,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,1385,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,1385,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,1386,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,1386,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,1386,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,1386,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,1387,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,1387,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,1388,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,1388,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,1388,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,1388,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,1392,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,1398,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,1401,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,1401,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,1402,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,1402,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,1402,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,1403,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,1403,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-08,1404,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-09,1407,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-10,1409,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,1409,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,1409,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-13,1409,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,1410,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,1411,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-16,1413,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-17,1416,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,1416,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,1416,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20,1416,0,8,320,0,0,0,0,0,0,0,0,0,0,0,0
