date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,7535,0,47,167,52902,4,47,331,227,97,21,952,77,369,0,0
2021-08-11,7546,0,47,167,52902,4,47,331,227,97,21,952,77,369,0,0
2021-08-12,7561,0,47,169,53313,4,47,333,227,97,21,952,77,369,0,0
2021-08-13,7572,0,47,169,53612,4,47,333,227,97,21,952,77,369,0,0
2021-08-14,7579,0,47,169,53979,4,47,333,227,97,21,952,77,369,0,0
2021-08-15,7596,0,47,169,54340,4,47,333,227,97,21,952,77,369,0,0
2021-08-16,7609,0,47,169,54760,4,47,333,227,97,21,952,77,369,0,0
2021-08-17,7621,0,47,169,55147,4,47,333,227,97,21,952,77,369,0,0
2021-08-18,7647,0,47,169,55521,4,47,333,227,97,21,952,77,369,0,0
2021-08-19,7654,0,47,169,55929,4,47,333,227,97,21,952,77,369,0,0
2021-08-20,7671,0,47,169,56332,4,47,333,227,97,21,952,77,369,0,0
