date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,350,0,0,0,516,4,0,102,10,0,0,0,0,0,0,73
2021-08-11,350,0,0,0,516,4,0,102,10,0,0,0,0,0,0,73
2021-08-12,350,0,0,0,516,4,0,102,10,0,0,0,0,0,0,73
2021-08-13,354,0,0,0,517,4,0,102,10,0,0,0,0,0,0,73
2021-08-14,355,0,0,0,523,4,0,102,10,0,0,0,0,0,0,73
2021-08-15,355,0,0,0,525,4,0,102,10,0,0,0,0,0,0,73
2021-08-16,355,0,0,0,525,4,0,102,10,0,0,0,0,0,0,73
2021-08-17,355,0,0,0,525,4,0,102,10,0,0,0,0,0,0,73
2021-08-18,357,0,0,0,529,4,0,102,10,0,0,0,0,0,0,73
2021-08-19,358,0,0,0,532,4,0,102,10,0,0,0,0,0,0,73
2021-08-20,359,0,0,0,536,4,0,102,10,0,0,0,0,0,0,73
2021-08-21,360,0,0,0,537,4,0,102,10,0,0,0,0,0,0,73
2021-08-22,360,0,0,0,538,4,0,102,10,0,0,0,0,0,0,73
2021-08-23,364,0,0,0,538,4,0,102,10,0,0,0,0,0,0,73
2021-08-24,365,0,0,0,543,4,0,102,10,0,0,0,0,0,0,73
2021-08-25,368,0,0,0,544,4,0,102,10,0,0,0,0,0,0,73
2021-08-26,368,0,0,0,547,4,0,102,10,0,0,0,0,0,0,73
2021-08-27,370,0,0,0,547,4,0,102,10,0,0,0,0,0,0,73
2021-08-28,370,0,0,0,549,4,0,102,10,0,0,0,0,0,0,73
2021-08-29,370,0,0,0,551,4,0,102,10,0,0,0,0,0,0,73
2021-08-30,370,0,0,0,551,4,0,102,10,0,0,0,0,0,0,73
2021-08-31,373,0,0,0,551,4,0,102,10,0,0,0,0,0,0,73
2021-09-01,375,0,0,0,555,4,0,102,10,0,0,0,0,0,0,73
2021-09-02,375,0,0,0,557,4,0,102,10,0,0,0,0,0,0,73
2021-09-03,377,0,0,0,557,4,0,102,10,0,0,0,0,0,0,73
2021-09-04,378,0,0,0,559,4,0,102,10,0,0,0,0,0,0,73
2021-09-05,378,0,0,0,560,4,0,102,10,0,0,0,0,0,0,73
2021-09-06,378,0,0,0,560,4,0,102,10,0,0,0,0,0,0,73
2021-09-07,378,0,0,0,561,4,0,102,10,0,0,0,0,0,0,73
2021-09-08,378,0,0,0,562,4,0,102,10,0,0,0,0,0,0,73
2021-09-09,380,0,0,0,563,4,0,102,10,0,0,0,0,0,0,73
2021-09-10,381,0,0,0,567,4,0,102,10,0,0,0,0,0,0,73
2021-09-11,382,0,0,0,569,4,0,102,10,0,0,0,0,0,0,73
2021-09-12,382,0,0,0,570,4,0,102,10,0,0,0,0,0,0,73
2021-09-13,384,0,0,0,570,4,0,102,10,0,0,0,0,0,0,73
2021-09-14,384,0,0,0,573,4,0,102,10,0,0,0,0,0,0,73
2021-09-15,386,0,0,0,573,4,0,102,10,0,0,0,0,0,0,73
2021-09-16,388,0,0,0,576,4,0,102,10,0,0,0,0,0,0,73
2021-09-17,392,0,0,0,582,4,0,102,10,0,0,0,0,0,0,73
2021-09-18,393,0,0,0,586,4,0,102,10,0,0,0,0,0,0,73
