date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,72,0,4,0,480,0,5,12,4,0,0,0,0,0,0,0
2021-08-11,75,0,4,0,480,0,5,12,4,0,0,0,0,0,0,0
2021-08-12,76,0,4,0,486,0,5,12,4,0,0,0,0,0,0,0
2021-08-13,76,0,4,0,487,0,5,12,4,0,0,0,0,0,0,0
2021-08-14,76,0,4,0,487,0,5,12,4,0,0,0,0,0,0,0
2021-08-15,76,0,4,0,487,0,5,12,4,0,0,0,0,0,0,0
2021-08-16,76,0,4,0,487,0,5,12,4,0,0,0,0,0,0,0
2021-08-17,76,0,4,0,487,0,5,12,4,0,0,0,0,0,0,0
2021-08-18,76,0,4,0,487,0,5,12,4,0,0,0,0,0,0,0
2021-08-19,78,0,4,0,488,0,5,12,4,0,0,0,0,0,0,0
2021-08-20,78,0,4,0,491,0,5,12,4,0,0,0,0,0,0,0
2021-08-21,78,0,4,0,491,0,5,12,4,0,0,0,0,0,0,0
2021-08-22,78,0,4,0,491,0,5,12,4,0,0,0,0,0,0,0
2021-08-23,78,0,4,0,491,0,5,12,4,0,0,0,0,0,0,0
2021-08-24,79,0,4,0,491,0,5,12,4,0,0,0,0,0,0,0
2021-08-25,79,0,4,0,492,0,5,12,4,0,0,0,0,0,0,0
2021-08-26,79,0,4,0,492,0,5,12,4,0,0,0,0,0,0,0
2021-08-27,79,0,4,0,492,0,5,12,4,0,0,0,0,0,0,0
2021-08-28,79,0,4,0,492,0,5,12,4,0,0,0,0,0,0,0
2021-08-29,79,0,4,0,492,0,5,12,4,0,0,0,0,0,0,0
2021-08-30,79,0,4,0,493,0,5,12,4,0,0,0,0,0,0,0
2021-08-31,79,0,4,0,493,0,5,12,4,0,0,0,0,0,0,0
2021-09-01,79,0,4,0,493,0,5,12,4,0,0,0,0,0,0,0
2021-09-02,81,0,4,0,493,0,5,12,4,0,0,0,0,0,0,0
2021-09-03,82,0,4,0,496,0,5,12,4,0,0,0,0,0,0,0
2021-09-04,82,0,4,0,497,0,5,12,4,0,0,0,0,0,0,0
