date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,449,1,0,10,815,1,0,14,0,81,63,0,17,0,7,0
2021-08-11,453,1,0,10,815,1,0,14,0,81,63,0,17,0,7,0
2021-08-12,459,1,0,10,826,1,0,14,0,81,63,0,17,0,7,0
2021-08-13,463,1,0,10,842,1,0,14,0,81,63,0,17,0,7,0
2021-08-14,466,1,0,10,850,1,0,14,0,81,63,0,17,0,7,0
2021-08-15,469,1,0,10,862,1,0,15,0,81,63,0,17,0,7,0
2021-08-16,475,1,0,10,866,1,0,15,0,81,63,0,17,0,7,0
2021-08-17,479,1,0,10,874,1,0,15,0,81,63,0,17,0,7,0
2021-08-18,485,1,0,10,878,1,0,15,0,81,63,0,17,0,7,0
2021-08-19,493,1,0,10,886,1,0,15,0,81,63,0,17,0,7,0
2021-08-20,501,1,0,10,901,1,0,15,0,81,63,0,17,0,7,0
2021-08-21,503,1,0,10,913,1,0,15,0,81,63,0,17,0,7,0
2021-08-22,503,1,0,10,920,1,0,15,0,81,63,0,17,0,7,0
2021-08-23,510,1,0,10,922,1,0,15,0,81,63,0,17,0,7,0
2021-08-24,519,1,0,10,931,1,0,15,0,81,63,0,17,0,7,0
2021-08-25,528,1,0,10,945,1,0,15,0,81,63,0,17,0,7,0
2021-08-26,532,1,0,10,956,1,0,15,0,81,63,0,17,0,7,0
2021-08-27,545,1,0,10,972,1,0,15,0,81,63,0,17,0,7,0
2021-08-28,547,1,0,10,995,1,0,15,0,81,63,0,17,0,7,0
2021-08-29,552,1,0,10,1009,1,0,15,0,81,63,0,17,0,7,0
2021-08-30,559,1,0,10,1014,1,0,15,0,81,63,0,17,0,7,0
2021-08-31,568,1,0,10,1020,1,0,15,0,81,63,0,17,0,7,0
2021-09-01,575,1,0,10,1035,1,0,15,0,81,63,0,17,0,7,0
2021-09-02,582,1,0,10,1043,1,0,15,0,81,63,0,17,0,7,0
2021-09-03,589,1,0,10,1059,1,0,15,0,81,63,0,17,0,7,0
2021-09-04,596,1,0,10,1070,1,0,15,0,81,63,0,17,0,7,0
