date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2023-02-11,2558,1,0,115,4094,2,0,163,0,88,63,0,17,0,7,0
2023-02-12,2558,1,0,115,4094,2,0,163,0,88,63,0,17,0,7,0
2023-02-13,2558,1,0,115,4094,2,0,163,0,88,63,0,17,0,7,0
2023-02-14,2559,1,0,115,4096,2,0,163,0,89,63,0,17,0,7,0
2023-02-15,2559,1,0,115,4099,2,0,163,0,90,63,0,17,0,7,0
2023-02-16,2559,1,0,115,4100,2,0,163,0,91,63,0,17,0,7,0
2023-02-17,2559,1,0,115,4102,2,0,163,0,91,63,0,17,0,7,0
2023-02-18,2559,1,0,115,4103,2,0,163,0,91,63,0,17,0,7,0
2023-02-19,2559,1,0,115,4103,2,0,163,0,91,63,0,17,0,7,0
2023-02-20,2560,1,0,115,4103,2,0,163,0,91,63,0,17,0,7,0
2023-02-21,2561,1,0,115,4103,2,0,163,0,91,63,0,17,0,7,0
2023-02-22,2562,1,0,115,4105,2,0,163,0,92,63,0,17,0,7,0
2023-02-23,2563,1,0,115,4107,2,0,163,0,92,63,0,17,0,7,0
2023-02-24,2563,1,0,115,4107,2,0,163,0,92,63,0,17,0,7,0
2023-02-25,2563,1,0,115,4107,2,0,163,0,92,63,0,17,0,7,0
2023-02-26,2564,1,0,115,4108,2,0,163,0,93,63,0,18,0,7,0
2023-02-27,2564,1,0,115,4108,2,0,163,0,93,63,0,18,0,7,0
2023-02-28,2564,1,0,115,4109,2,0,163,0,93,63,0,18,0,7,0
2023-03-01,2564,1,0,115,4109,2,0,163,0,93,63,0,18,0,7,0
2023-03-02,2565,1,0,115,4110,2,0,163,0,93,63,0,18,0,7,0
